error_rate,support_threshold,counter,counter_transformed,counter_transformed_smoothed,smoothed_estimates,BR,BR_transformed,BS,BS_transformed,BR_transformed_smoothed,BS_transformed_smoothed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cre@10,cre@5,cre@3
0.025,0.025,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 4677, 'T': 3359, 'O': 2317, 'A': 2140, 'I': 2030, 'N': 1805, 'S': 1462, 'H': 1341, 'R': 1105, 'L': 705, 'D': 508, 'U': 445, 'M': 130, 'W': 34, 'C': 19, 'Y': 4, 'G': 2, 'F': 0}","{'E': 0.14578189532813024, 'T': 0.12564342214742613, 'O': 0.10672477796476804, 'A': 0.10312176453535435, 'I': 0.10080634838165589, 'N': 0.09587808863337738, 'S': 0.08772707079149583, 'H': 0.08464737906186115, 'R': 0.07818680325739522, 'L': 0.06551413533325051, 'D': 0.057984326703336836, 'U': 0.05529618502245766, 'M': 0.037879737661467336, 'W': 0.029359759196720018, 'C': 0.027567664742800563, 'Y': 0.025647563542172576, 'G': 0.025225894258897413, 'F': 0.02507153318198418}",370,370,0.4477611940298507,0.4477611940298507,300,0.5522388059701493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7238805970149254,0.7238805970149254,0.7238805970149254
0.025,0.05,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047}","{'E': 5479, 'T': 4027, 'O': 2859, 'A': 2659, 'I': 2533, 'N': 2276, 'S': 1878, 'H': 1737, 'R': 1458, 'L': 974, 'D': 727, 'U': 646}","{'E': 0.17078189532813023, 'T': 0.15064342214742613, 'O': 0.13172477796476803, 'A': 0.12812176453535434, 'I': 0.12580634838165589, 'N': 0.12087808863337739, 'S': 0.11272707079149584, 'H': 0.10964737906186114, 'R': 0.10318680325739521, 'L': 0.0905141353332505, 'D': 0.08298432670333683, 'U': 0.08029618502245765, 'M': 0.06287973766146734, 'W': 0.054359759196720016, 'C': 0.052567664742800564, 'Y': 0.05064756354217258, 'G': 0.05022589425889741, 'F': 0.050071533181984186}",370,270,0.4477611940298507,0.5970149253731343,232,0.6537313432835821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7238805970149254,0.7238805970149254,0.7238805970149254
0.025,0.075,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127}","{'E': 6281, 'T': 4695, 'O': 3402, 'A': 3177, 'I': 3036, 'N': 2746, 'S': 2295, 'H': 2133, 'R': 1811}","{'E': 0.19578189532813023, 'T': 0.17564342214742612, 'O': 0.15672477796476803, 'A': 0.15312176453535437, 'I': 0.1508063483816559, 'N': 0.1458780886333774, 'S': 0.13772707079149585, 'H': 0.13464737906186114, 'R': 0.12818680325739523, 'L': 0.11551413533325051, 'D': 0.10798432670333685, 'U': 0.10529618502245766, 'M': 0.08787973766146734, 'W': 0.07935975919672003, 'C': 0.07756766474280058, 'Y': 0.07564756354217259, 'G': 0.07522589425889742, 'F': 0.07507153318198419}",370,205,0.4477611940298507,0.6940298507462687,181,0.7298507462686568,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,,0.7190574011853216,0.7238805970149254,0.7238805970149254
0.025,0.1,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135}","{'E': 7083, 'T': 5364, 'O': 3945, 'A': 3696, 'I': 3540}","{'E': 0.22078189532813025, 'T': 0.20064342214742614, 'O': 0.18172477796476805, 'A': 0.17812176453535433, 'I': 0.17580634838165587, 'N': 0.1708780886333774, 'S': 0.16272707079149584, 'H': 0.15964737906186116, 'R': 0.15318680325739523, 'L': 0.14051413533325052, 'D': 0.13298432670333685, 'U': 0.13029618502245766, 'M': 0.11287973766146733, 'W': 0.10435975919672003, 'C': 0.10256766474280057, 'Y': 0.10064756354217258, 'G': 0.10022589425889741, 'F': 0.10007153318198418}",370,115,0.4477611940298507,0.8283582089552238,102,0.8477611940298507,0.5,1.0,1.0,0.8347503616255572,1.0,1.0,0.5,1.0,1.0,,0.6412557778277039,0.7238805970149254,0.7238805970149254
0.025,0.125,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}","{'E': 32081, 'T': 26732}","{'E': 7885, 'T': 6032}","{'E': 0.24578189532813022, 'T': 0.2256434221474261, 'O': 0.20672477796476801, 'A': 0.20312176453535435, 'I': 0.2008063483816559, 'N': 0.19587808863337738, 'S': 0.18772707079149584, 'H': 0.18464737906186113, 'R': 0.17818680325739522, 'L': 0.1655141353332505, 'D': 0.15798432670333684, 'U': 0.15529618502245765, 'M': 0.13787973766146733, 'W': 0.12935975919672002, 'C': 0.12756766474280057, 'Y': 0.12564756354217257, 'G': 0.1252258942588974, 'F': 0.1250715331819842}",370,46,0.4477611940298507,0.9313432835820896,42,0.9373134328358208,0.2,0.4,0.6666666666666666,0.5232033178513957,0.7324546333761013,0.894999002123018,0.2,0.4,0.6666666666666666,,0.4854822559406232,0.590107913702976,0.6713800980764344
0.025,0.15,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}",{},{},"{'E': 0.27078189532813024, 'T': 0.25064342214742613, 'O': 0.23172477796476804, 'A': 0.22812176453535438, 'I': 0.22580634838165592, 'N': 0.2208780886333774, 'S': 0.21272707079149586, 'H': 0.20964737906186115, 'R': 0.20318680325739524, 'L': 0.1905141353332505, 'D': 0.18298432670333686, 'U': 0.18029618502245767, 'M': 0.16287973766146735, 'W': 0.15435975919672004, 'C': 0.1525676647428006, 'Y': 0.1506475635421726, 'G': 0.15022589425889743, 'F': 0.1500715331819842}",370,0,0.4477611940298507,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2238805970149253,0.2238805970149253,0.2238805970149253
0.025,0.175,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}",{},{},"{'E': 0.29578189532813026, 'T': 0.27564342214742615, 'O': 0.25672477796476806, 'A': 0.25312176453535434, 'I': 0.2508063483816559, 'N': 0.2458780886333774, 'S': 0.23772707079149585, 'H': 0.23464737906186117, 'R': 0.22818680325739524, 'L': 0.21551413533325053, 'D': 0.20798432670333686, 'U': 0.20529618502245767, 'M': 0.18787973766146734, 'W': 0.17935975919672004, 'C': 0.17756766474280058, 'Y': 0.1756475635421726, 'G': 0.17522589425889742, 'F': 0.1750715331819842}",370,0,0.4477611940298507,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2238805970149253,0.2238805970149253,0.2238805970149253
0.025,0.2,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}",{},{},"{'E': 0.32078189532813023, 'T': 0.3006434221474261, 'O': 0.281724777964768, 'A': 0.27812176453535437, 'I': 0.2758063483816559, 'N': 0.27087808863337737, 'S': 0.2627270707914958, 'H': 0.25964737906186114, 'R': 0.25318680325739523, 'L': 0.2405141353332505, 'D': 0.23298432670333685, 'U': 0.23029618502245766, 'M': 0.21287973766146734, 'W': 0.20435975919672003, 'C': 0.20256766474280058, 'Y': 0.20064756354217259, 'G': 0.20022589425889742, 'F': 0.2000715331819842}",370,0,0.4477611940298507,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2238805970149253,0.2238805970149253,0.2238805970149253
0.025,0.225,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}",{},{},"{'E': 0.34578189532813025, 'T': 0.32564342214742614, 'O': 0.30672477796476805, 'A': 0.30312176453535433, 'I': 0.3008063483816559, 'N': 0.2958780886333774, 'S': 0.28772707079149584, 'H': 0.28464737906186116, 'R': 0.2781868032573952, 'L': 0.2655141353332505, 'D': 0.2579843267033368, 'U': 0.25529618502245766, 'M': 0.23787973766146733, 'W': 0.22935975919672003, 'C': 0.22756766474280057, 'Y': 0.22564756354217258, 'G': 0.2252258942588974, 'F': 0.2250715331819842}",370,0,0.4477611940298507,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2238805970149253,0.2238805970149253,0.2238805970149253
0.025,0.25,"{'E': 32081, 'T': 26732, 'O': 21707, 'A': 20750, 'I': 20135, 'N': 18826, 'S': 16661, 'H': 15843, 'R': 14127, 'L': 10761, 'D': 8761, 'U': 8047, 'M': 3421, 'W': 1158, 'C': 682, 'Y': 172, 'G': 60, 'F': 19}",{},{},"{'E': 0.3707818953281302, 'T': 0.3506434221474261, 'O': 0.331724777964768, 'A': 0.32812176453535435, 'I': 0.3258063483816559, 'N': 0.3208780886333774, 'S': 0.31272707079149586, 'H': 0.3096473790618611, 'R': 0.3031868032573952, 'L': 0.2905141353332505, 'D': 0.28298432670333684, 'U': 0.2802961850224577, 'M': 0.2628797376614673, 'W': 0.25435975919672, 'C': 0.25256766474280057, 'Y': 0.2506475635421726, 'G': 0.2502258942588974, 'F': 0.25007153318198416}",370,0,0.4477611940298507,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2238805970149253,0.2238805970149253,0.2238805970149253
