alpha,beta,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,8,10,"{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}","{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}",0.0,0.8526673536412921,-7370.083333333333,7370.083333333333,0.8526673536412921,129430348.30555557,11376.74594537276,31.18321918958891,32073,0.0,0.0,-0.7231596718268674,0.0,0.4434145763456645,0.0,-0.7231596718268674,432,432,0.3552238805970149,0.3552238805970149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2512782634778614,0.6776119402985075,0.6776119402985075,0.6776119402985075
0.05,8,10,"{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}","{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}",0.0,0.8526673536412921,-7370.083333333333,7370.083333333333,0.8526673536412921,129430348.30555557,11376.74594537276,31.18321918958891,32073,0.0,0.0,-0.7231596718268674,0.0,0.4434145763456645,0.0,-0.7231596718268674,432,432,0.3552238805970149,0.3552238805970149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2512782634778614,0.6776119402985075,0.6776119402985075,0.6776119402985075
0.1,8,10,"{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}","{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}",0.0,0.8526673536412921,-7370.083333333333,7370.083333333333,0.8526673536412921,129430348.30555557,11376.74594537276,31.18321918958891,32073,0.0,0.0,-0.7231596718268674,0.0,0.4434145763456645,0.0,-0.7231596718268674,432,432,0.3552238805970149,0.3552238805970149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2512782634778614,0.6776119402985075,0.6776119402985075,0.6776119402985075
0.2,8,10,"{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}","{'M': 8, 'E': 8, 'R': 8, 'C': 8, 'H': 8, 'I': 8, 'S': 8, 'T': 8, 'A': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'D': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}",0.0,0.8526673536412921,-7370.083333333333,7370.083333333333,0.8526673536412921,129430348.30555557,11376.74594537276,31.18321918958891,32073,0.0,0.0,-0.7231596718268674,0.0,0.4434145763456645,0.0,-0.7231596718268674,432,432,0.3552238805970149,0.3552238805970149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2512782634778614,0.6776119402985075,0.6776119402985075,0.6776119402985075
0.4,8,10,"{'E': 9, 'H': 9, 'T': 9, 'A': 9, 'D': 9, 'M': 8, 'R': 8, 'C': 8, 'I': 8, 'S': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}","{'E': 31526, 'H': 31526, 'T': 31526, 'A': 31526, 'D': 31526, 'M': 8, 'R': 8, 'C': 8, 'I': 8, 'S': 8, 'N': 8, 'Y': 8, 'B': 8, 'L': 8, 'W': 8, 'O': 8, 'P': 8, 'G': 8, 'F': 8, 'V': 8, 'K': 8, 'U': 8, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'X': 8, 'Q': 8, 'Z': 8}",-0.0132333238691761,0.8333360412740656,-2992.583333333333,5993.194444444444,0.8333360412740656,85061759.30555555,9222.893217724875,23.08080239552401,22759,58906777.2083334,0.6235739508194005,-0.1324623256359238,0.6235739508194005,0.7692950531734948,0.4797123556532169,-0.1324623256359238,432,487,0.3552238805970149,0.2731343283582089,0.8354365079365079,0.6,0.6666666666666666,0.9570688251248948,0.8298073697004293,0.894999002123018,0.2,0.4,0.6666666666666666,0.9650793650793652,0.2609439196614747,0.6561463528609548,0.5925156251487221,0.6251114413600164
0.8,8,10,"{'E': 13, 'T': 13, 'A': 13, 'R': 12, 'H': 12, 'I': 12, 'S': 12, 'N': 12, 'L': 12, 'O': 12, 'D': 12, 'M': 11, 'C': 11, 'W': 11, 'P': 11, 'U': 11, 'Y': 10, 'B': 10, 'G': 10, 'F': 10, 'V': 10, 'K': 10, 'X': 9, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'Q': 8, 'Z': 8}","{'E': 30301, 'T': 30301, 'A': 30301, 'R': 13466, 'H': 13466, 'I': 13466, 'S': 13466, 'N': 13466, 'L': 13466, 'O': 13466, 'D': 13466, 'M': 5985, 'C': 5985, 'W': 5985, 'P': 5985, 'U': 5985, 'Y': 2659, 'B': 2659, 'G': 2659, 'F': 2659, 'V': 2659, 'K': 2659, 'X': 1182, '1': 8, '3': 8, '2': 8, 'J': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'Q': 8, 'Z': 8}",0.8792203463841709,0.4376353613279958,-550.4166666666666,1865.138888888889,0.4376353613279958,9374986.416666666,3061.859960329124,1.1163335420065097,9551,71212105.22222224,0.9401502697659808,0.8751869346825263,0.9401502697659808,0.9681479139071988,0.9102045224332244,0.8751869346825263,432,645,0.3552238805970149,0.0373134328358208,1.0,1.0,0.6666666666666666,0.9976866051795144,0.9932511732370244,0.894999002123018,0.8,0.6,0.6666666666666666,0.9777777777777776,0.4587942596345096,0.6764552428882646,0.6742375269170197,0.6251114413600164
1.0,8,10,"{'T': 15, 'E': 14, 'R': 14, 'H': 14, 'I': 14, 'S': 14, 'A': 14, 'O': 14, 'N': 13, 'Y': 13, 'L': 13, 'D': 13, 'M': 12, 'C': 12, 'B': 12, 'W': 12, 'G': 12, 'F': 12, 'V': 12, 'U': 12, 'P': 11, 'K': 11, 'X': 10, 'J': 9, 'Q': 9, '1': 8, '3': 8, '2': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'Z': 8}","{'T': 32767, 'E': 16383, 'R': 16383, 'H': 16383, 'I': 16383, 'S': 16383, 'A': 16383, 'O': 16383, 'N': 8191, 'Y': 8191, 'L': 8191, 'D': 8191, 'M': 4095, 'C': 4095, 'B': 4095, 'W': 4095, 'G': 4095, 'F': 4095, 'V': 4095, 'U': 4095, 'P': 2047, 'K': 2047, 'X': 1023, 'J': 511, 'Q': 511, '1': 8, '3': 8, '2': 8, '8': 8, '4': 8, '7': 8, '5': 8, '9': 8, '6': 8, '0': 8, 'Z': 8}",0.8310211742608277,0.4206452377535081,-1289.2222222222222,2028.5,0.4206452377535081,14354468.666666666,3788.7291624853137,0.4852757154708962,15698,59408462.37268517,0.9127770364484012,0.8088930313429383,0.9127770364484012,0.943114644385841,0.8608533901335957,0.8088930313429383,432,643,0.3552238805970149,0.0402985074626865,1.0,1.0,1.0,0.9842827224331656,0.9640700016142872,0.9224945116765986,0.4,0.6,0.3333333333333333,0.9777777777777776,0.4672893214217534,0.6697533015150903,0.659646941105651,0.6388591961368068
2.0,8,10,"{'E': 24, 'I': 23, 'T': 23, 'A': 23, 'N': 23, 'O': 23, 'H': 22, 'S': 22, 'R': 21, 'U': 21, 'M': 20, 'Y': 20, 'L': 20, 'G': 20, 'F': 20, 'D': 20, 'C': 19, 'B': 19, 'W': 19, 'P': 18, 'V': 18, 'K': 16, 'J': 13, 'X': 13, 'Q': 12, '1': 10, '2': 9, '4': 9, '0': 9, 'Z': 9, '3': 8, '8': 8, '7': 8, '5': 8, '9': 8, '6': 8}","{'E': 33666, 'I': 22443, 'T': 22443, 'A': 22443, 'N': 22443, 'O': 22443, 'H': 14962, 'S': 14962, 'R': 9974, 'U': 9974, 'M': 6649, 'Y': 6649, 'L': 6649, 'G': 6649, 'F': 6649, 'D': 6649, 'C': 4432, 'B': 4432, 'W': 4432, 'P': 2954, 'V': 2954, 'K': 1312, 'J': 387, 'X': 387, 'Q': 257, '1': 113, '2': 75, '4': 75, '0': 75, 'Z': 75, '3': 8, '8': 8, '7': 8, '5': 8, '9': 8, '6': 8}",0.9639997171177116,0.3686413547039744,-221.0,1048.888888888889,0.3686413547039744,2752902.1666666665,1659.1872006095837,0.1864627403082008,4289,75068310.35416669,0.982451918136894,0.963349476717114,0.982451918136894,0.9909268797753508,0.973538013768701,0.963349476717114,454,673,0.3223880597014925,-0.0044776119402985,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,0.9777777777777776,0.47687335249875906,0.6563708340211425,0.6611940298507463,0.6611940298507463
3.0,8,10,"{'E': 32, 'I': 31, 'T': 31, 'S': 30, 'A': 30, 'O': 30, 'R': 29, 'H': 29, 'N': 29, 'L': 29, 'U': 28, 'W': 27, 'G': 27, 'D': 27, 'M': 26, 'C': 26, 'Y': 26, 'B': 26, 'P': 25, 'F': 25, 'V': 24, 'K': 22, 'X': 17, 'J': 16, 'Q': 16, '1': 11, '2': 10, 'Z': 10, '3': 9, '4': 9, '0': 9, '8': 8, '7': 8, '5': 8, '9': 8, '6': 8}","{'E': 29862, 'I': 22396, 'T': 22396, 'S': 16796, 'A': 16796, 'O': 16796, 'R': 12596, 'H': 12596, 'N': 12596, 'L': 12596, 'U': 9446, 'W': 7084, 'G': 7084, 'D': 7084, 'M': 5312, 'C': 5312, 'Y': 5312, 'B': 5312, 'P': 3983, 'F': 3983, 'V': 2987, 'K': 1679, 'X': 396, 'J': 296, 'Q': 296, '1': 68, '2': 50, 'Z': 50, '3': 37, '4': 37, '0': 37, '8': 8, '7': 8, '5': 8, '9': 8, '6': 8}",0.954973898441454,0.2154541610360919,-675.0,1182.7222222222222,0.2154541610360919,3837635.444444445,1958.9883727180325,0.0685494980617684,6230,65792715.770833336,0.9812315220485912,0.9489079746781752,0.9812315220485912,0.9856297335723608,0.967130963649555,0.9489079746781752,458,670,0.3164179104477612,0.0,1.0,1.0,0.6666666666666666,0.9931474424403623,0.9822359844138904,0.894999002123018,0.5,0.4,0.6666666666666666,0.9650793650793652,0.5504818747058347,0.6547826764440617,0.6493269474308258,0.6057084562853896
4.0,8,10,"{'E': 40, 'T': 39, 'I': 38, 'A': 38, 'N': 38, 'O': 38, 'H': 37, 'R': 36, 'S': 36, 'L': 36, 'D': 34, 'Y': 33, 'W': 33, 'G': 33, 'U': 33, 'M': 32, 'C': 32, 'F': 32, 'P': 31, 'B': 30, 'V': 30, 'K': 27, 'X': 21, 'J': 20, 'Q': 18, '1': 13, 'Z': 12, '2': 11, '0': 11, '5': 10, '3': 9, '4': 9, '8': 8, '7': 8, '9': 8, '6': 8}","{'E': 30089, 'T': 24070, 'I': 19255, 'A': 19255, 'N': 19255, 'O': 19255, 'H': 15403, 'R': 12322, 'S': 12322, 'L': 12322, 'D': 7885, 'Y': 6307, 'W': 6307, 'G': 6307, 'U': 6307, 'M': 5045, 'C': 5045, 'F': 5045, 'P': 4035, 'B': 3227, 'V': 3227, 'K': 1650, 'X': 430, 'J': 343, 'Q': 218, '1': 69, 'Z': 54, '2': 43, '0': 43, '5': 33, '3': 26, '4': 26, '8': 8, '7': 8, '9': 8, '6': 8}",0.9841361295464706,0.1725117378503355,-565.5277777777778,748.9722222222222,0.1725117378503355,1511392.1944444445,1229.3869181199402,0.0413180541459951,4339,69287057.09259261,0.9942621682076238,0.9798782116259762,0.9942621682076238,0.9945777834622744,0.9888710634363336,0.9798782116259762,475,668,0.291044776119403,0.0029850746268656,1.0,1.0,1.0,0.9994037111591912,1.0,1.0,0.8,1.0,1.0,0.9714285714285714,0.5592665191345337,0.6452242436392971,0.6455223880597015,0.6455223880597015
