probability,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,10,"{'E': 1063, 'A': 956, 'O': 846, 'S': 711, 'R': 493, 'I': 462, 'M': 396, 'N': 386, 'D': 374, 'U': 359, 'T': 349, 'C': 234, 'P': 207, 'L': 185, 'Q': 127, 'V': 99, 'F': 87, 'G': 78, 'H': 64, 'B': 56, 'Z': 32, 'J': 20, 'X': 18, '9': 10, '1': 3, '0': 3, '2': 2, '4': 2, '3': 2, '5': 1, 'K': 1, '6': 1, 'W': 1, '7': 1, '8': 1, 'Y': 0}","{'E': 42520, 'A': 38240, 'O': 33840, 'S': 28440, 'R': 19720, 'I': 18480, 'M': 15840, 'N': 15440, 'D': 14960, 'U': 14360, 'T': 13960, 'C': 9360, 'P': 8280, 'L': 7400, 'Q': 5080, 'V': 3960, 'F': 3480, 'G': 3120, 'H': 2560, 'B': 2240, 'Z': 1280, 'J': 800, 'X': 720, '9': 400, '1': 120, '0': 120, '2': 80, '4': 80, '3': 80, '5': 40, 'K': 40, '6': 40, 'W': 40, '7': 40, '8': 40, 'Y': 0}",0.999610436489348,0.126337831552644,-9.166666666666666,146.88888888888889,0.126337831552644,51926.22222222222,227.873259120552,0.3728135815469285,667,132766187.654321,0.99980711075478,0.9996098050701642,0.99980711075478,0.9999022323553728,0.99970936196848,0.9996098050701642,493,676,0.275,0.0058823529411764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9873015873015872,0.574331084223678,0.6375,0.6375,0.6375
0.03125,10,"{'E': 1311, 'A': 1208, 'O': 1045, 'S': 885, 'R': 618, 'I': 555, 'M': 512, 'N': 477, 'D': 467, 'U': 455, 'T': 448, 'C': 293, 'P': 270, 'L': 221, 'Q': 150, 'V': 129, 'F': 100, 'G': 97, 'H': 81, 'B': 73, 'Z': 42, 'X': 27, 'J': 26, '9': 16, '1': 6, '0': 3, '5': 2, '2': 2, 'Y': 2, '3': 1, '6': 1, '7': 1, 'W': 1, 'K': 1, '4': 1, '8': 1}","{'E': 41952, 'A': 38656, 'O': 33440, 'S': 28320, 'R': 19776, 'I': 17760, 'M': 16384, 'N': 15264, 'D': 14944, 'U': 14560, 'T': 14336, 'C': 9376, 'P': 8640, 'L': 7072, 'Q': 4800, 'V': 4128, 'F': 3200, 'G': 3104, 'H': 2592, 'B': 2336, 'Z': 1344, 'X': 864, 'J': 832, '9': 512, '1': 192, '0': 96, '5': 64, '2': 64, 'Y': 64, '3': 32, '6': 32, '7': 32, 'W': 32, 'K': 32, '4': 32, '8': 32}",0.9996332194386724,0.1208563475123521,-17.61111111111111,130.27777777777777,0.1208563475123521,49120.444444444445,221.6313255035137,0.0454171959523418,853,132199039.4074074,0.9998362893597448,0.999630888835096,0.9998362893597448,0.9999071175512366,0.9997434221168264,0.999630888835096,506,686,0.2558823529411764,-0.0088235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523808,0.5675130027144122,0.6279411764705882,0.6279411764705882,0.6279411764705882
0.05,10,"{'E': 2140, 'A': 1946, 'O': 1662, 'S': 1414, 'R': 1002, 'I': 895, 'M': 805, 'N': 761, 'D': 742, 'U': 726, 'T': 687, 'C': 485, 'P': 434, 'L': 373, 'Q': 248, 'V': 227, 'F': 168, 'G': 148, 'H': 125, 'B': 115, 'Z': 68, 'X': 41, 'J': 41, '9': 22, '1': 7, '0': 6, '2': 4, '8': 2, '6': 2, '4': 2, '5': 2, 'Y': 2, '7': 2, 'K': 2, '3': 2, 'W': 1}","{'E': 42800, 'A': 38920, 'O': 33240, 'S': 28280, 'R': 20040, 'I': 17900, 'M': 16100, 'N': 15220, 'D': 14840, 'U': 14520, 'T': 13740, 'C': 9700, 'P': 8680, 'L': 7460, 'Q': 4960, 'V': 4540, 'F': 3360, 'G': 2960, 'H': 2500, 'B': 2300, 'Z': 1360, 'X': 820, 'J': 820, '9': 440, '1': 140, '0': 120, '2': 80, '8': 40, '6': 40, '4': 40, '5': 40, 'Y': 40, '7': 40, 'K': 40, '3': 40, 'W': 20}",0.9998375952519098,0.0889874443406275,18.05555555555556,94.22222222222224,0.0889874443406275,21938.444444444445,148.11632065523517,0.0229537138562053,382,132989753.61111112,0.9999189185069436,0.9998351455310176,0.9999189185069436,0.999958760845994,0.9998776826966698,0.9998351455310176,526,681,0.2264705882352941,-0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968253968253968,0.5687415719473332,0.6132352941176471,0.6132352941176471,0.6132352941176471
0.075,10,"{'E': 3215, 'A': 2926, 'O': 2488, 'S': 2097, 'R': 1497, 'I': 1360, 'M': 1219, 'N': 1157, 'D': 1140, 'U': 1059, 'T': 1038, 'C': 699, 'P': 645, 'L': 554, 'Q': 358, 'V': 318, 'F': 251, 'G': 219, 'H': 187, 'B': 163, 'Z': 98, 'J': 71, 'X': 62, '9': 37, '1': 8, '0': 8, '2': 5, '3': 4, '7': 4, '4': 4, '5': 4, '6': 4, 'K': 3, 'W': 2, 'Y': 2, '8': 2}","{'E': 42867, 'A': 39013, 'O': 33173, 'S': 27960, 'R': 19960, 'I': 18133, 'M': 16253, 'N': 15427, 'D': 15200, 'U': 14120, 'T': 13840, 'C': 9320, 'P': 8600, 'L': 7387, 'Q': 4773, 'V': 4240, 'F': 3347, 'G': 2920, 'H': 2493, 'B': 2173, 'Z': 1307, 'J': 947, 'X': 827, '9': 493, '1': 107, '0': 107, '2': 67, '3': 53, '7': 53, '4': 53, '5': 53, '6': 53, 'K': 40, 'W': 27, 'Y': 27, '8': 27}",0.9999715878065972,0.0661809293705203,-2.5,45.77777777777778,0.0661809293705203,3787.277777777778,61.5408626668312,0.0115661242762579,152,133092857.4135802,0.9999858039854213,0.9999715408415338,0.9999858039854213,0.9999928860742248,0.9999786901606356,0.9999715408415338,553,678,0.1867647058823529,0.0029411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5602918882559162,0.5933823529411765,0.5933823529411765,0.5933823529411765
0.1,10,"{'E': 4306, 'A': 3936, 'O': 3318, 'S': 2810, 'R': 2003, 'I': 1812, 'M': 1637, 'N': 1556, 'D': 1489, 'U': 1390, 'T': 1383, 'C': 947, 'P': 865, 'L': 740, 'Q': 504, 'V': 423, 'F': 343, 'G': 296, 'H': 253, 'B': 229, 'Z': 130, 'X': 90, 'J': 82, '9': 46, '1': 14, '0': 10, '2': 8, '4': 6, '3': 4, '5': 4, 'Y': 4, '7': 4, 'W': 4, '6': 4, 'K': 4, '8': 2}","{'E': 43060, 'A': 39360, 'O': 33180, 'S': 28100, 'R': 20030, 'I': 18120, 'M': 16370, 'N': 15560, 'D': 14890, 'U': 13900, 'T': 13830, 'C': 9470, 'P': 8650, 'L': 7400, 'Q': 5040, 'V': 4230, 'F': 3430, 'G': 2960, 'H': 2530, 'B': 2290, 'Z': 1300, 'X': 900, 'J': 820, '9': 460, '1': 140, '0': 100, '2': 80, '4': 60, '3': 40, '5': 40, 'Y': 40, '7': 40, 'W': 40, '6': 40, 'K': 40, '8': 20}",0.9999023096301872,0.0592305790464825,28.61111111111111,70.83333333333333,0.0592305790464825,13819.0,117.55424279880332,0.0091849682250676,453,133578826.14197531,0.9999585618086804,0.9998961583665316,0.9999585618086804,0.9999741376627428,0.9999327005431118,0.9998961583665316,562,681,0.1735294117647058,-0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5571494163591116,0.5867647058823529,0.5867647058823529,0.5867647058823529
0.125,10,"{'E': 5310, 'A': 4890, 'O': 4144, 'S': 3462, 'R': 2522, 'I': 2265, 'M': 2071, 'N': 1954, 'D': 1886, 'U': 1767, 'T': 1717, 'C': 1164, 'P': 1054, 'L': 904, 'Q': 612, 'V': 535, 'F': 412, 'G': 372, 'H': 316, 'B': 274, 'Z': 167, 'X': 107, 'J': 107, '9': 56, '1': 16, '0': 12, '2': 8, '5': 6, '4': 6, '6': 6, 'K': 6, 'Y': 6, 'W': 5, '3': 5, '8': 4, '7': 3}","{'E': 42480, 'A': 39120, 'O': 33152, 'S': 27696, 'R': 20176, 'I': 18120, 'M': 16568, 'N': 15632, 'D': 15088, 'U': 14136, 'T': 13736, 'C': 9312, 'P': 8432, 'L': 7232, 'Q': 4896, 'V': 4280, 'F': 3296, 'G': 2976, 'H': 2528, 'B': 2192, 'Z': 1336, 'X': 856, 'J': 856, '9': 448, '1': 128, '0': 96, '2': 64, '5': 48, '4': 48, '6': 48, 'K': 48, 'Y': 48, 'W': 40, '3': 40, '8': 32, '7': 24}",0.9999080169638302,0.0624745152460571,-8.944444444444445,69.55555555555556,0.0624745152460571,12320.888888888889,110.99949949837112,0.0143074093609322,325,132792787.8888889,0.9999561146193844,0.999907415787828,0.9999561146193844,0.9999768048570776,0.9999329204943896,0.999907415787828,574,682,0.1558823529411764,-0.0029411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523808,0.5467039188475596,0.5779411764705882,0.5779411764705882,0.5779411764705882
0.15,10,"{'E': 6408, 'A': 5831, 'O': 5046, 'S': 4233, 'R': 2978, 'I': 2736, 'M': 2476, 'N': 2312, 'D': 2245, 'U': 2113, 'T': 2079, 'C': 1396, 'P': 1297, 'L': 1078, 'Q': 732, 'V': 622, 'F': 497, 'G': 445, 'H': 360, 'B': 318, 'Z': 198, 'X': 130, 'J': 124, '9': 66, '1': 18, '0': 15, '2': 10, '4': 10, '5': 8, '3': 7, '6': 7, 'K': 7, '7': 6, 'Y': 5, 'W': 4, '8': 4}","{'E': 42720, 'A': 38873, 'O': 33640, 'S': 28220, 'R': 19853, 'I': 18240, 'M': 16507, 'N': 15413, 'D': 14967, 'U': 14087, 'T': 13860, 'C': 9307, 'P': 8647, 'L': 7187, 'Q': 4880, 'V': 4147, 'F': 3313, 'G': 2967, 'H': 2400, 'B': 2120, 'Z': 1320, 'X': 867, 'J': 827, '9': 440, '1': 120, '0': 100, '2': 67, '4': 67, '5': 53, '3': 47, '6': 47, 'K': 47, '7': 40, 'Y': 33, 'W': 27, '8': 27}",0.9999366554070768,0.0293488973652272,-1.4722222222222223,52.80555555555556,0.0293488973652272,8431.916666666666,91.82546850774388,0.0024970097786368,396,133353397.58179016,0.9999705978233758,0.9999366391200568,0.9999705978233758,0.9999841927848588,0.9999547910730012,0.9999366391200568,585,681,0.1397058823529411,-0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.555178492493857,0.5698529411764706,0.5698529411764706,0.5698529411764706
0.175,10,"{'E': 7553, 'A': 6843, 'O': 5786, 'S': 4888, 'R': 3510, 'I': 3188, 'M': 2872, 'N': 2687, 'D': 2628, 'U': 2474, 'T': 2414, 'C': 1655, 'P': 1486, 'L': 1252, 'Q': 826, 'V': 725, 'F': 571, 'G': 532, 'H': 439, 'B': 384, 'Z': 234, 'X': 158, 'J': 148, '9': 75, '1': 19, '0': 16, '2': 12, '4': 10, '3': 9, 'Y': 8, '5': 8, '6': 8, 'K': 8, '7': 6, 'W': 6, '8': 4}","{'E': 43160, 'A': 39103, 'O': 33063, 'S': 27931, 'R': 20057, 'I': 18217, 'M': 16411, 'N': 15354, 'D': 15017, 'U': 14137, 'T': 13794, 'C': 9457, 'P': 8491, 'L': 7154, 'Q': 4720, 'V': 4143, 'F': 3263, 'G': 3040, 'H': 2509, 'B': 2194, 'Z': 1337, 'X': 903, 'J': 846, '9': 429, '1': 109, '0': 91, '2': 69, '4': 57, '3': 51, 'Y': 46, '5': 46, '6': 46, 'K': 46, '7': 34, 'W': 34, '8': 23}",0.9999451874805412,0.0379713766183485,-4.111111111111111,46.5,0.0379713766183485,7311.222222222223,85.50568532104882,0.0049166861142327,355,133426469.51851852,0.99997615514521,0.9999450604777332,0.99997615514521,0.999986301215018,0.9999624566868732,0.9999450604777332,593,681,0.1279411764705882,-0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5449848999261199,0.5639705882352941,0.5639705882352941,0.5639705882352941
0.2,10,"{'E': 8488, 'A': 7752, 'O': 6670, 'S': 5614, 'R': 3997, 'I': 3647, 'M': 3281, 'N': 3086, 'D': 3003, 'U': 2862, 'T': 2768, 'C': 1866, 'P': 1729, 'L': 1466, 'Q': 962, 'V': 840, 'F': 649, 'G': 610, 'H': 494, 'B': 423, 'Z': 262, 'J': 173, 'X': 169, '9': 86, '1': 21, '0': 20, '2': 18, 'K': 11, '4': 11, '5': 10, '3': 9, '6': 9, 'Y': 8, '7': 6, '8': 6, 'W': 6}","{'E': 42440, 'A': 38760, 'O': 33350, 'S': 28070, 'R': 19985, 'I': 18235, 'M': 16405, 'N': 15430, 'D': 15015, 'U': 14310, 'T': 13840, 'C': 9330, 'P': 8645, 'L': 7330, 'Q': 4810, 'V': 4200, 'F': 3245, 'G': 3050, 'H': 2470, 'B': 2115, 'Z': 1310, 'J': 865, 'X': 845, '9': 430, '1': 105, '0': 100, '2': 90, 'K': 55, '4': 55, '5': 50, '3': 45, '6': 45, 'Y': 40, '7': 30, '8': 30, 'W': 30}",0.999953308122657,0.0427312312396076,-10.27777777777778,42.66666666666666,0.0427312312396076,6319.277777777777,79.49388515966355,0.0049563880916861,365,132756564.81481488,0.9999794663487088,0.9999525143551063,0.9999794663487088,0.9999881000186558,0.9999675666117146,0.9999525143551063,596,679,0.1235294117647058,0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5403990902625491,0.5617647058823529,0.5617647058823529,0.5617647058823529
0.225,10,"{'E': 9606, 'A': 8761, 'O': 7480, 'S': 6299, 'R': 4510, 'I': 4078, 'M': 3690, 'N': 3456, 'D': 3388, 'U': 3179, 'T': 3133, 'C': 2144, 'P': 1925, 'L': 1643, 'Q': 1091, 'V': 932, 'F': 750, 'G': 690, 'H': 554, 'B': 499, 'Z': 301, 'X': 198, 'J': 195, '9': 97, '1': 30, '0': 22, '2': 18, '4': 14, '6': 12, '3': 11, '5': 10, 'K': 9, 'Y': 7, '7': 7, 'W': 6, '8': 6}","{'E': 42693, 'A': 38938, 'O': 33244, 'S': 27996, 'R': 20044, 'I': 18124, 'M': 16400, 'N': 15360, 'D': 15058, 'U': 14129, 'T': 13924, 'C': 9529, 'P': 8556, 'L': 7302, 'Q': 4849, 'V': 4142, 'F': 3333, 'G': 3067, 'H': 2462, 'B': 2218, 'Z': 1338, 'X': 880, 'J': 867, '9': 431, '1': 133, '0': 98, '2': 80, '4': 62, '6': 53, '3': 49, '5': 44, 'K': 40, 'Y': 31, '7': 31, 'W': 27, '8': 27}",0.9999880154261668,0.0286851667559947,0.8055555555555556,24.47222222222222,0.0286851667559947,1595.5277777777778,39.94405810352496,0.0028507500324522,112,132964624.68055557,0.9999943588199288,0.9999880105499176,0.9999943588199288,0.9999970000987196,0.9999913589355716,0.9999880105499176,600,679,0.1176470588235294,0.0014705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.5444809460337673,0.5588235294117647,0.5588235294117647,0.5588235294117647
