error_rate,support_threshold,counter,counter_transformed,counter_transformed_smoothed,smoothed_estimates,BR,BR_transformed,BS,BS_transformed,BR_transformed_smoothed,BS_transformed_smoothed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cre@10,cre@5,cre@3
0.025,0.025,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 7067, 'A': 5927, 'O': 4448, 'S': 3270, 'R': 1810, 'I': 1541, 'M': 1287, 'N': 1166, 'D': 1117, 'U': 1008, 'T': 971, 'C': 526, 'P': 455, 'L': 3}","{'E': 0.1651008084312506, 'A': 0.15234265047622164, 'O': 0.13380437272935555, 'S': 0.11671276143095605, 'R': 0.0904698392956502, 'I': 0.08460462147743267, 'M': 0.07859539161457141, 'N': 0.07553513566589207, 'D': 0.07425211926815697, 'U': 0.07128023434687264, 'T': 0.07023287402219094, 'C': 0.05584476156187609, 'P': 0.05306271069944032, 'L': 0.02539276012175564}",310,310,0.5441176470588235,0.5441176470588235,259,0.6191176470588236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7720588235294117,0.7720588235294117,0.7720588235294117
0.025,0.05,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574}","{'E': 8137, 'A': 6900, 'O': 5279, 'S': 3971, 'R': 2310, 'I': 1996, 'M': 1696, 'N': 1552, 'D': 1494, 'U': 1361, 'T': 1316, 'C': 762, 'P': 669}","{'E': 0.1901008084312506, 'A': 0.17734265047622166, 'O': 0.15880437272935555, 'S': 0.14171276143095604, 'R': 0.11546983929565019, 'I': 0.10960462147743266, 'M': 0.1035953916145714, 'N': 0.10053513566589206, 'D': 0.09925211926815697, 'U': 0.09628023434687265, 'T': 0.09523287402219095, 'C': 0.08084476156187609, 'P': 0.07806271069944032, 'L': 0.05039276012175564}",310,295,0.5441176470588235,0.5661764705882353,253,0.6279411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7720588235294117,0.7720588235294117,0.7720588235294117
0.025,0.075,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440}","{'E': 9207, 'A': 7873, 'O': 6110, 'S': 4671, 'R': 2810, 'I': 2451, 'M': 2106, 'N': 1938}","{'E': 0.21510080843125062, 'A': 0.20234265047622166, 'O': 0.18380437272935557, 'S': 0.16671276143095604, 'R': 0.1404698392956502, 'I': 0.13460462147743268, 'M': 0.1285953916145714, 'N': 0.12553513566589208, 'D': 0.12425211926815699, 'U': 0.12128023434687266, 'T': 0.12023287402219096, 'C': 0.1058447615618761, 'P': 0.10306271069944033, 'L': 0.07539276012175565}",310,185,0.5441176470588235,0.7279411764705882,164,0.7588235294117647,0.8,1.0,1.0,0.9702622449166518,1.0,1.0,0.8,1.0,1.0,,0.7571899459877376,0.7720588235294117,0.7720588235294117
0.025,0.1,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021}","{'E': 10278, 'A': 8845, 'O': 6941, 'S': 5372}","{'E': 0.24010080843125062, 'A': 0.22734265047622165, 'O': 0.20880437272935554, 'S': 0.19171276143095606, 'R': 0.16546983929565018, 'I': 0.15960462147743265, 'M': 0.15359539161457142, 'N': 0.15053513566589205, 'D': 0.14925211926815699, 'U': 0.14628023434687265, 'T': 0.14523287402219096, 'C': 0.13084476156187608, 'P': 0.1280627106994403, 'L': 0.10039276012175564}",310,95,0.5441176470588235,0.8602941176470589,86,0.8735294117647059,0.4,0.8,1.0,0.7572922964451632,0.9623388206609694,1.0,0.4,0.8,1.0,,0.6507049717519933,0.7532282338598965,0.7720588235294117
0.025,0.125,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907, 'O': 33243}","{'E': 11348, 'A': 9818, 'O': 7772}","{'E': 0.2651008084312506, 'A': 0.2523426504762216, 'O': 0.23380437272935556, 'S': 0.21671276143095602, 'R': 0.1904698392956502, 'I': 0.18460462147743267, 'M': 0.17859539161457139, 'N': 0.17553513566589207, 'D': 0.17425211926815698, 'U': 0.17128023434687265, 'T': 0.17023287402219095, 'C': 0.1558447615618761, 'P': 0.15306271069944033, 'L': 0.12539276012175563}",310,72,0.5441176470588235,0.8941176470588236,65,0.9044117647058824,0.3,0.6,1.0,0.6566874470978848,0.8784837378625933,1.0,0.3,0.6,1.0,,0.6004025470783542,0.7113006924607084,0.7720588235294117
0.025,0.15,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}","{'E': 42805, 'A': 38907}","{'E': 12418, 'A': 10791}","{'E': 0.29010080843125063, 'A': 0.27734265047622164, 'O': 0.2588043727293556, 'S': 0.24171276143095605, 'R': 0.21546983929565022, 'I': 0.2096046214774327, 'M': 0.2035953916145714, 'N': 0.2005351356658921, 'D': 0.199252119268157, 'U': 0.19628023434687267, 'T': 0.19523287402219097, 'C': 0.18084476156187612, 'P': 0.17806271069944035, 'L': 0.15039276012175565}",310,48,0.5441176470588235,0.9294117647058824,44,0.9352941176470588,0.2,0.4,0.6666666666666666,0.5232033178513957,0.7324546333761013,0.894999002123018,0.2,0.4,0.6666666666666666,,0.5336604824551097,0.6382861402174624,0.7195583245909207
0.025,0.175,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}",{},{},"{'E': 0.31510080843125066, 'A': 0.30234265047622166, 'O': 0.28380437272935555, 'S': 0.26671276143095607, 'R': 0.2404698392956502, 'I': 0.23460462147743266, 'M': 0.22859539161457143, 'N': 0.22553513566589206, 'D': 0.224252119268157, 'U': 0.22128023434687266, 'T': 0.22023287402219097, 'C': 0.2058447615618761, 'P': 0.20306271069944032, 'L': 0.17539276012175564}",310,0,0.5441176470588235,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2720588235294117,0.2720588235294117,0.2720588235294117
0.025,0.2,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}",{},{},"{'E': 0.3401008084312506, 'A': 0.3273426504762217, 'O': 0.30880437272935557, 'S': 0.29171276143095604, 'R': 0.2654698392956502, 'I': 0.2596046214774327, 'M': 0.2535953916145714, 'N': 0.2505351356658921, 'D': 0.249252119268157, 'U': 0.24628023434687266, 'T': 0.24523287402219096, 'C': 0.2308447615618761, 'P': 0.22806271069944034, 'L': 0.20039276012175564}",310,0,0.5441176470588235,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2720588235294117,0.2720588235294117,0.2720588235294117
0.025,0.225,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}",{},{},"{'E': 0.3651008084312506, 'A': 0.35234265047622165, 'O': 0.33380437272935554, 'S': 0.31671276143095606, 'R': 0.2904698392956502, 'I': 0.28460462147743265, 'M': 0.2785953916145714, 'N': 0.27553513566589205, 'D': 0.27425211926815696, 'U': 0.27128023434687265, 'T': 0.270232874022191, 'C': 0.2558447615618761, 'P': 0.2530627106994403, 'L': 0.22539276012175563}",310,0,0.5441176470588235,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2720588235294117,0.2720588235294117,0.2720588235294117
0.025,0.25,"{'E': 42805, 'A': 38907, 'O': 33243, 'S': 28021, 'R': 20003, 'I': 18211, 'M': 16375, 'N': 15440, 'D': 15048, 'U': 14140, 'T': 13820, 'C': 9424, 'P': 8574, 'L': 120}",{},{},"{'E': 0.3901008084312506, 'A': 0.3773426504762216, 'O': 0.35880437272935556, 'S': 0.341712761430956, 'R': 0.3154698392956502, 'I': 0.3096046214774327, 'M': 0.3035953916145714, 'N': 0.3005351356658921, 'D': 0.299252119268157, 'U': 0.2962802343468727, 'T': 0.29523287402219095, 'C': 0.2808447615618761, 'P': 0.27806271069944033, 'L': 0.25039276012175565}",310,0,0.5441176470588235,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2720588235294117,0.2720588235294117,0.2720588235294117
