probability,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,10,"{'E': 843, 'T': 716, 'A': 584, 'I': 570, 'O': 509, 'N': 496, 'S': 464, 'H': 415, 'R': 384, 'L': 310, 'D': 235, 'C': 202, 'U': 193, 'M': 186, 'F': 156, 'Y': 140, 'W': 131, 'G': 130, 'P': 115, 'B': 111, 'V': 70, 'K': 46, 'X': 14, 'Q': 7, 'J': 7, 'Z': 3, '7': 0, '8': 0, '0': 0}","{'E': 33720, 'T': 28640, 'A': 23360, 'I': 22800, 'O': 20360, 'N': 19840, 'S': 18560, 'H': 16600, 'R': 15360, 'L': 12400, 'D': 9400, 'C': 8080, 'U': 7720, 'M': 7440, 'F': 6240, 'Y': 5600, 'W': 5240, 'G': 5200, 'P': 4600, 'B': 4440, 'V': 2800, 'K': 1840, 'X': 560, 'Q': 280, 'J': 280, 'Z': 120, '7': 0, '8': 0, '0': 0}",0.999777950630242,0.1535902507565612,16.233333333333334,95.56666666666666,0.1535902507565612,19853.9,140.90386793839266,0.1620345677997809,375,88196879.51111111,0.9998889741963972,0.9997749637203424,0.9998889741963972,0.999943726140744,0.9998327065849916,0.9997749637203424,429,570,0.2666666666666666,0.0256410256410256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5565382079550527,0.6333333333333333,0.6333333333333333,0.6333333333333333
0.03125,10,"{'E': 1021, 'T': 898, 'A': 737, 'I': 718, 'O': 639, 'N': 626, 'S': 585, 'H': 536, 'R': 479, 'L': 389, 'D': 281, 'C': 256, 'M': 229, 'U': 228, 'F': 200, 'Y': 187, 'W': 169, 'G': 162, 'B': 144, 'P': 138, 'V': 80, 'K': 56, 'X': 19, 'J': 9, 'Q': 8, 'Z': 4, '1': 0, '7': 0}","{'E': 32672, 'T': 28736, 'A': 23584, 'I': 22976, 'O': 20448, 'N': 20032, 'S': 18720, 'H': 17152, 'R': 15328, 'L': 12448, 'D': 8992, 'C': 8192, 'M': 7328, 'U': 7296, 'F': 6400, 'Y': 5984, 'W': 5408, 'G': 5184, 'B': 4608, 'P': 4416, 'V': 2560, 'K': 1792, 'X': 608, 'J': 288, 'Q': 256, 'Z': 128, '1': 0, '7': 0}",0.9994056262138648,0.1552832371795692,18.1,142.03333333333333,0.1552832371795692,52766.43333333333,229.70945416619955,0.1621166624117619,863,87886200.03555556,0.9997080879469988,0.9994019128811906,0.9997080879469988,0.9998499237811932,0.9995580555372492,0.9994019128811906,433,563,0.2598290598290598,0.0376068376068376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5522729113247453,0.6299145299145299,0.6299145299145299,0.6299145299145299
0.05,10,"{'E': 1673, 'T': 1422, 'A': 1145, 'I': 1136, 'O': 1007, 'N': 991, 'S': 959, 'H': 860, 'R': 775, 'L': 609, 'D': 470, 'C': 404, 'U': 382, 'M': 377, 'F': 310, 'Y': 302, 'G': 257, 'W': 255, 'P': 236, 'B': 227, 'V': 140, 'K': 85, 'X': 30, 'J': 14, 'Q': 12, 'Z': 5}","{'E': 33460, 'T': 28440, 'A': 22900, 'I': 22720, 'O': 20140, 'N': 19820, 'S': 19180, 'H': 17200, 'R': 15500, 'L': 12180, 'D': 9400, 'C': 8080, 'U': 7640, 'M': 7540, 'F': 6200, 'Y': 6040, 'G': 5140, 'W': 5100, 'P': 4720, 'B': 4540, 'V': 2800, 'K': 1700, 'X': 600, 'J': 280, 'Q': 240, 'Z': 100}",0.9995797777620048,0.151412509294481,22.23333333333333,126.5,0.151412509294481,37568.566666666666,193.82612483013395,0.1618062651376172,628,87856016.91111109,0.9997970157286946,0.999574174823348,0.9997970157286946,0.9998931079970694,0.9996901454231594,0.999574174823348,430,545,0.2649572649572649,0.0683760683760683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.556772377831392,0.6324786324786325,0.6324786324786325,0.6324786324786325
0.075,10,"{'E': 2513, 'T': 2127, 'A': 1743, 'I': 1720, 'O': 1505, 'N': 1476, 'S': 1399, 'H': 1264, 'R': 1160, 'L': 905, 'D': 690, 'C': 595, 'U': 557, 'M': 545, 'F': 464, 'Y': 425, 'W': 399, 'G': 396, 'P': 362, 'B': 332, 'V': 216, 'K': 128, 'X': 45, 'J': 21, 'Q': 17, 'Z': 8, '8': 0, '7': 0, '1': 0, '0': 0}","{'E': 33507, 'T': 28360, 'A': 23240, 'I': 22933, 'O': 20067, 'N': 19680, 'S': 18653, 'H': 16853, 'R': 15467, 'L': 12067, 'D': 9200, 'C': 7933, 'U': 7427, 'M': 7267, 'F': 6187, 'Y': 5667, 'W': 5320, 'G': 5280, 'P': 4827, 'B': 4427, 'V': 2880, 'K': 1707, 'X': 600, 'J': 280, 'Q': 227, 'Z': 107, '8': 0, '7': 0, '1': 0, '0': 0}",0.9997907287821476,0.1498230197806391,-27.666666666666668,95.6,0.1498230197806391,19228.466666666667,138.66674679484865,0.1616793732013887,364,87772799.86777781,0.9999075860895432,0.9997820527653416,0.9999075860895432,0.9999452352731886,0.9998528264237544,0.9997820527653416,481,577,0.1777777777777777,0.0136752136752136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5139773789985693,0.5888888888888888,0.5888888888888888,0.5888888888888888
0.1,10,"{'E': 3337, 'T': 2876, 'A': 2347, 'I': 2269, 'O': 2037, 'N': 1967, 'S': 1883, 'H': 1689, 'R': 1525, 'L': 1211, 'D': 914, 'C': 808, 'M': 750, 'U': 744, 'F': 636, 'Y': 586, 'W': 524, 'G': 523, 'P': 452, 'B': 443, 'V': 281, 'K': 170, 'X': 58, 'J': 31, 'Q': 26, 'Z': 12, '1': 0, '0': 0, '7': 0, '8': 0}","{'E': 33370, 'T': 28760, 'A': 23470, 'I': 22690, 'O': 20370, 'N': 19670, 'S': 18830, 'H': 16890, 'R': 15250, 'L': 12110, 'D': 9140, 'C': 8080, 'M': 7500, 'U': 7440, 'F': 6360, 'Y': 5860, 'W': 5240, 'G': 5230, 'P': 4520, 'B': 4430, 'V': 2810, 'K': 1700, 'X': 580, 'J': 310, 'Q': 260, 'Z': 120, '1': 0, '0': 0, '7': 0, '8': 0}",0.9999469628128166,0.1449571043240946,-0.1,50.16666666666666,0.1449571043240946,4679.233333333334,68.40492185020997,0.1613073253342299,165,88057193.5888889,0.9999752038638686,0.9999469626994704,0.9999752038638686,0.999986715534014,0.999961919727286,0.9999469626994704,489,578,0.1641025641025641,0.0119658119658119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954022988505749,0.5095727298892347,0.5820512820512821,0.5820512820512821,0.5820512820512821
0.125,10,"{'E': 4216, 'T': 3585, 'A': 2910, 'I': 2887, 'O': 2563, 'N': 2484, 'S': 2369, 'H': 2107, 'R': 1913, 'L': 1486, 'D': 1135, 'C': 1001, 'U': 927, 'M': 919, 'F': 778, 'Y': 733, 'W': 664, 'G': 639, 'P': 569, 'B': 562, 'V': 340, 'K': 211, 'X': 72, 'J': 40, 'Q': 35, 'Z': 11, '8': 0, '0': 0, '7': 0, '1': 0}","{'E': 33728, 'T': 28680, 'A': 23280, 'I': 23096, 'O': 20504, 'N': 19872, 'S': 18952, 'H': 16856, 'R': 15304, 'L': 11888, 'D': 9080, 'C': 8008, 'U': 7416, 'M': 7352, 'F': 6224, 'Y': 5864, 'W': 5312, 'G': 5112, 'P': 4552, 'B': 4496, 'V': 2720, 'K': 1688, 'X': 576, 'J': 320, 'Q': 280, 'Z': 88, '8': 0, '0': 0, '7': 0, '1': 0}",0.9998670882460416,0.1549489483294088,8.5,69.83333333333333,0.1549489483294088,11798.433333333332,108.62059350479232,0.1637261121435617,358,88569700.46222223,0.999941623790934,0.9998662693202284,0.999941623790934,0.999966698429696,0.9999083241646494,0.9998662693202284,500,578,0.1452991452991453,0.0119658119658119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49517509848486824,0.5726495726495726,0.5726495726495726,0.5726495726495726
0.15,10,"{'E': 5061, 'T': 4310, 'A': 3511, 'I': 3403, 'O': 3056, 'N': 2944, 'S': 2861, 'H': 2529, 'R': 2282, 'L': 1802, 'D': 1365, 'C': 1206, 'U': 1132, 'M': 1098, 'F': 946, 'Y': 871, 'G': 787, 'W': 780, 'P': 693, 'B': 671, 'V': 413, 'K': 255, 'X': 91, 'J': 47, 'Q': 34, 'Z': 19, '7': 1, '1': 0, '0': 0, '8': 0}","{'E': 33740, 'T': 28733, 'A': 23407, 'I': 22687, 'O': 20373, 'N': 19627, 'S': 19073, 'H': 16860, 'R': 15213, 'L': 12013, 'D': 9100, 'C': 8040, 'U': 7547, 'M': 7320, 'F': 6307, 'Y': 5807, 'G': 5247, 'W': 5200, 'P': 4620, 'B': 4473, 'V': 2753, 'K': 1700, 'X': 607, 'J': 313, 'Q': 227, 'Z': 127, '7': 7, '1': 0, '0': 0, '8': 0}",0.9999429000466076,0.1971726967714207,4.266666666666667,45.66666666666666,0.1971726967714207,5055.866666666667,71.1046177590926,0.1537762792522775,213,88355840.36333331,0.9999726263414156,0.9999426937062688,0.9999726263414156,0.9999856947930078,0.9999583215260092,0.9999426937062688,507,580,0.1333333333333333,0.0085470085470085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986206896551724,0.4680803182809563,0.5666666666666667,0.5666666666666667,0.5666666666666667
0.175,10,"{'E': 5863, 'T': 5042, 'A': 4096, 'I': 4021, 'O': 3568, 'N': 3476, 'S': 3312, 'H': 2907, 'R': 2678, 'L': 2106, 'D': 1584, 'C': 1379, 'U': 1342, 'M': 1271, 'F': 1093, 'Y': 1031, 'W': 919, 'G': 897, 'P': 824, 'B': 774, 'V': 482, 'K': 300, 'X': 106, 'J': 51, 'Q': 42, 'Z': 21, '1': 1, '8': 0, '7': 0, '0': 0}","{'E': 33503, 'T': 28811, 'A': 23406, 'I': 22977, 'O': 20389, 'N': 19863, 'S': 18926, 'H': 16611, 'R': 15303, 'L': 12034, 'D': 9051, 'C': 7880, 'U': 7669, 'M': 7263, 'F': 6246, 'Y': 5891, 'W': 5251, 'G': 5126, 'P': 4709, 'B': 4423, 'V': 2754, 'K': 1714, 'X': 606, 'J': 291, 'Q': 240, 'Z': 120, '1': 6, '8': 0, '7': 0, '0': 0}",0.9999180550275656,0.1758923019226856,2.333333333333333,56.13333333333333,0.1758923019226856,7235.066666666667,85.05919507417565,0.1448919428014433,239,88348902.80111113,0.999960122605368,0.9999179933168928,0.999960122605368,0.9999795274238932,0.9999396508456542,0.9999179933168928,512,580,0.1247863247863247,0.0085470085470085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954022988505749,0.47444701143181955,0.5623931623931624,0.5623931623931624,0.5623931623931624
0.2,10,"{'E': 6725, 'T': 5716, 'A': 4687, 'I': 4561, 'O': 4099, 'N': 3947, 'S': 3798, 'H': 3359, 'R': 3077, 'L': 2436, 'D': 1839, 'C': 1599, 'U': 1511, 'M': 1471, 'F': 1268, 'Y': 1171, 'W': 1064, 'G': 1027, 'P': 926, 'B': 876, 'V': 552, 'K': 349, 'X': 126, 'J': 61, 'Q': 47, 'Z': 23, '0': 1, '8': 1, '1': 1, '7': 0}","{'E': 33625, 'T': 28580, 'A': 23435, 'I': 22805, 'O': 20495, 'N': 19735, 'S': 18990, 'H': 16795, 'R': 15385, 'L': 12180, 'D': 9195, 'C': 7995, 'U': 7555, 'M': 7355, 'F': 6340, 'Y': 5855, 'W': 5320, 'G': 5135, 'P': 4630, 'B': 4380, 'V': 2760, 'K': 1745, 'X': 630, 'J': 305, 'Q': 235, 'Z': 115, '0': 5, '8': 5, '1': 5, '7': 0}",0.9999580480646566,0.1939748510990203,19.9,47.16666666666666,0.1939748510990203,4097.233333333334,64.00963469145354,0.0886346050631089,155,88302754.25555557,0.999979445828283,0.9999535594444304,0.999979445828283,0.9999884001755078,0.9999678462422156,0.9999535594444304,519,586,0.1128205128205128,-0.0017094017094017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954022988505749,0.45942283086074626,0.5564102564102564,0.5564102564102564,0.5564102564102564
0.225,10,"{'E': 7481, 'T': 6486, 'A': 5278, 'I': 5145, 'O': 4574, 'N': 4442, 'S': 4245, 'H': 3806, 'R': 3429, 'L': 2683, 'D': 2046, 'C': 1810, 'U': 1717, 'M': 1619, 'F': 1418, 'Y': 1322, 'W': 1164, 'G': 1145, 'P': 1041, 'B': 1004, 'V': 633, 'K': 397, 'X': 132, 'J': 62, 'Q': 56, 'Z': 26, '0': 0, '8': 0, '7': 0, '1': 0}","{'E': 33249, 'T': 28827, 'A': 23458, 'I': 22867, 'O': 20329, 'N': 19742, 'S': 18867, 'H': 16916, 'R': 15240, 'L': 11924, 'D': 9093, 'C': 8044, 'U': 7631, 'M': 7196, 'F': 6302, 'Y': 5876, 'W': 5173, 'G': 5089, 'P': 4627, 'B': 4462, 'V': 2813, 'K': 1764, 'X': 587, 'J': 276, 'Q': 249, 'Z': 116, '0': 0, '8': 0, '7': 0, '1': 0}",0.999915079263369,0.1438934546501185,-9.2,60.4,0.1438934546501185,7576.8,87.04481604323144,0.1612029510117081,286,88103033.36555558,0.9999583876894752,0.9999141199016964,0.9999583876894752,0.999978500634955,0.9999368892190684,0.9999141199016964,520,577,0.1111111111111111,0.0136752136752136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48360882823049633,0.5555555555555556,0.5555555555555556,0.5555555555555556
