error_rate,support_threshold,counter,counter_transformed,counter_transformed_smoothed,smoothed_estimates,BR,BR_transformed,BS,BS_transformed,BR_transformed_smoothed,BS_transformed_smoothed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cre@10,cre@5,cre@3
0.025,0.025,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 4841, 'T': 3651, 'A': 2558, 'I': 2408, 'O': 1996, 'N': 1867, 'S': 1737, 'H': 1422, 'R': 1221, 'L': 815, 'D': 520, 'C': 429, 'U': 381, 'M': 374, 'P': 0, 'W': 0, 'G': 0, 'F': 0}","{'E': 0.1443446100080785, 'T': 0.12716624613424535, 'A': 0.10872806440018079, 'I': 0.105920165271021, 'O': 0.09770999633442826, 'N': 0.09495903812550491, 'S': 0.0921191097287121, 'H': 0.08472390771300353, 'R': 0.07959566608420851, 'L': 0.06779110155769005, 'D': 0.057313972234183774, 'C': 0.05353807746100436, 'U': 0.05140635175965238, 'M': 0.051086059083322366, 'P': 0.025049823305206893, 'W': 0.02502135284508867, 'G': 0.025010676422544335, 'F': 0.02500355880751478}",356,356,0.3914529914529914,0.3914529914529914,295,0.4957264957264957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6957264957264957,0.6957264957264957,0.6957264957264957
0.025,0.05,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330}","{'E': 5679, 'T': 4368, 'A': 3146, 'I': 2977, 'O': 2507, 'N': 2358, 'S': 2209, 'H': 1841, 'R': 1605, 'L': 1116, 'D': 747, 'C': 630, 'U': 567, 'M': 558}","{'E': 0.1693446100080785, 'T': 0.15216624613424534, 'A': 0.13372806440018078, 'I': 0.130920165271021, 'O': 0.12270999633442826, 'N': 0.1199590381255049, 'S': 0.1171191097287121, 'H': 0.10972390771300353, 'R': 0.1045956660842085, 'L': 0.09279110155769005, 'D': 0.08231397223418377, 'C': 0.07853807746100437, 'U': 0.07640635175965238, 'M': 0.07608605908332236, 'P': 0.050049823305206895, 'W': 0.05002135284508867, 'G': 0.05001067642254434, 'F': 0.05000355880751478}",356,314,0.3914529914529914,0.4632478632478632,271,0.5367521367521367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6957264957264957,0.6957264957264957,0.6957264957264957
0.025,0.075,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341}","{'E': 6517, 'T': 5086, 'A': 3734, 'I': 3545, 'O': 3018, 'N': 2850, 'S': 2680, 'H': 2261, 'R': 1988}","{'E': 0.1943446100080785, 'T': 0.17716624613424536, 'A': 0.15872806440018078, 'I': 0.15592016527102098, 'O': 0.14770999633442827, 'N': 0.14495903812550492, 'S': 0.1421191097287121, 'H': 0.13472390771300352, 'R': 0.12959566608420853, 'L': 0.11779110155769007, 'D': 0.10731397223418379, 'C': 0.10353807746100438, 'U': 0.10140635175965239, 'M': 0.10108605908332237, 'P': 0.0750498233052069, 'W': 0.07502135284508868, 'G': 0.07501067642254435, 'F': 0.07500355880751479}",356,207,0.3914529914529914,0.6461538461538462,181,0.6905982905982906,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,,0.6909032998968919,0.6957264957264957,0.6957264957264957
0.025,0.1,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738}","{'E': 7356, 'T': 5804, 'A': 4323, 'I': 4114}","{'E': 0.2193446100080785, 'T': 0.20216624613424533, 'A': 0.1837280644001808, 'I': 0.180920165271021, 'O': 0.17270999633442827, 'N': 0.1699590381255049, 'S': 0.1671191097287121, 'H': 0.15972390771300354, 'R': 0.1545956660842085, 'L': 0.14279110155769006, 'D': 0.13231397223418379, 'C': 0.12853807746100437, 'U': 0.12640635175965237, 'M': 0.12608605908332238, 'P': 0.1000498233052069, 'W': 0.10002135284508867, 'G': 0.10001067642254434, 'F': 0.10000355880751478}",356,93,0.3914529914529914,0.841025641025641,84,0.8564102564102564,0.4,0.8,1.0,0.7572922964451632,0.9623388206609694,1.0,0.4,0.8,1.0,,0.5743726439490773,0.6768959060569804,0.6957264957264957
0.025,0.125,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}","{'E': 33535, 'T': 28708}","{'E': 8194, 'T': 6521}","{'E': 0.2443446100080785, 'T': 0.22716624613424535, 'A': 0.20872806440018077, 'I': 0.20592016527102097, 'O': 0.19770999633442826, 'N': 0.1949590381255049, 'S': 0.1921191097287121, 'H': 0.1847239077130035, 'R': 0.17959566608420852, 'L': 0.16779110155769006, 'D': 0.15731397223418378, 'C': 0.15353807746100437, 'U': 0.1514063517596524, 'M': 0.15108605908332237, 'P': 0.1250498233052069, 'W': 0.12502135284508867, 'G': 0.12501067642254432, 'F': 0.12500355880751476}",356,47,0.3914529914529914,0.9196581196581196,43,0.9264957264957264,0.2,0.4,0.6666666666666666,0.5232033178513957,0.7324546333761013,0.894999002123018,0.2,0.4,0.6666666666666666,,0.4573281546521935,0.5619538124145463,0.6432259967880047
0.025,0.15,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}",{},{},"{'E': 0.2693446100080785, 'T': 0.2521662461342454, 'A': 0.2337280644001808, 'I': 0.230920165271021, 'O': 0.22270999633442828, 'N': 0.21995903812550494, 'S': 0.21711910972871212, 'H': 0.20972390771300353, 'R': 0.20459566608420854, 'L': 0.19279110155769008, 'D': 0.1823139722341838, 'C': 0.1785380774610044, 'U': 0.1764063517596524, 'M': 0.1760860590833224, 'P': 0.15004982330520691, 'W': 0.1500213528450887, 'G': 0.15001067642254434, 'F': 0.1500035588075148}",356,0,0.3914529914529914,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1957264957264957,0.1957264957264957,0.1957264957264957
0.025,0.175,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}",{},{},"{'E': 0.29434461000807854, 'T': 0.27716624613424534, 'A': 0.2587280644001808, 'I': 0.255920165271021, 'O': 0.24770999633442828, 'N': 0.2449590381255049, 'S': 0.24211910972871212, 'H': 0.23472390771300355, 'R': 0.2295956660842085, 'L': 0.21779110155769008, 'D': 0.2073139722341838, 'C': 0.20353807746100439, 'U': 0.20140635175965238, 'M': 0.2010860590833224, 'P': 0.1750498233052069, 'W': 0.17502135284508868, 'G': 0.17501067642254434, 'F': 0.17500355880751478}",356,0,0.3914529914529914,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1957264957264957,0.1957264957264957,0.1957264957264957
0.025,0.2,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}",{},{},"{'E': 0.3193446100080785, 'T': 0.30216624613424536, 'A': 0.2837280644001808, 'I': 0.280920165271021, 'O': 0.2727099963344283, 'N': 0.2699590381255049, 'S': 0.2671191097287121, 'H': 0.2597239077130035, 'R': 0.2545956660842085, 'L': 0.24279110155769007, 'D': 0.2323139722341838, 'C': 0.22853807746100438, 'U': 0.2264063517596524, 'M': 0.22608605908332238, 'P': 0.2000498233052069, 'W': 0.20002135284508868, 'G': 0.20001067642254433, 'F': 0.20000355880751478}",356,0,0.3914529914529914,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1957264957264957,0.1957264957264957,0.1957264957264957
0.025,0.225,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}",{},{},"{'E': 0.3443446100080785, 'T': 0.32716624613424533, 'A': 0.3087280644001808, 'I': 0.305920165271021, 'O': 0.2977099963344283, 'N': 0.2949590381255049, 'S': 0.29211910972871213, 'H': 0.28472390771300354, 'R': 0.2795956660842085, 'L': 0.26779110155769004, 'D': 0.2573139722341838, 'C': 0.2535380774610044, 'U': 0.25140635175965237, 'M': 0.2510860590833224, 'P': 0.2250498233052069, 'W': 0.22502135284508867, 'G': 0.22501067642254433, 'F': 0.22500355880751477}",356,0,0.3914529914529914,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1957264957264957,0.1957264957264957,0.1957264957264957
0.025,0.25,"{'E': 33535, 'T': 28708, 'A': 23527, 'I': 22738, 'O': 20431, 'N': 19658, 'S': 18860, 'H': 16782, 'R': 15341, 'L': 12024, 'D': 9080, 'C': 8019, 'U': 7420, 'M': 7330, 'P': 14, 'W': 6, 'G': 3, 'F': 1}",{},{},"{'E': 0.3693446100080785, 'T': 0.35216624613424535, 'A': 0.33372806440018077, 'I': 0.33092016527102097, 'O': 0.32270999633442826, 'N': 0.3199590381255049, 'S': 0.3171191097287121, 'H': 0.3097239077130035, 'R': 0.3045956660842085, 'L': 0.29279110155769006, 'D': 0.28231397223418375, 'C': 0.27853807746100434, 'U': 0.2764063517596524, 'M': 0.27608605908332234, 'P': 0.25004982330520686, 'W': 0.25002135284508864, 'G': 0.2500106764225443, 'F': 0.2500035588075148}",356,0,0.3914529914529914,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1957264957264957,0.1957264957264957,0.1957264957264957
