alpha,beta,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,8,10,"{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.0001697804174782,0.861070791042882,-9359.233333333334,9359.233333333334,0.861070791042882,175805599.5,13259.170392599985,37.75228735186965,33527,7491.546666666667,0.391046297728809,-0.9926884921570678,0.391046297728809,0.4557159084347035,0.1782060188095117,-0.9926884921570678,352,352,0.3982905982905982,0.3982905982905982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2686099036238581,0.6991452991452991,0.6991452991452991,0.6991452991452991
0.05,8,10,"{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.0001697804174782,0.861070791042882,-9359.233333333334,9359.233333333334,0.861070791042882,175805599.5,13259.170392599985,37.75228735186965,33527,7491.546666666667,0.391046297728809,-0.9926884921570678,0.391046297728809,0.4557159084347035,0.1782060188095117,-0.9926884921570678,352,352,0.3982905982905982,0.3982905982905982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2686099036238581,0.6991452991452991,0.6991452991452991,0.6991452991452991
0.1,8,10,"{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.0001697804174782,0.861070791042882,-9359.233333333334,9359.233333333334,0.861070791042882,175805599.5,13259.170392599985,37.75228735186965,33527,7491.546666666667,0.391046297728809,-0.9926884921570678,0.391046297728809,0.4557159084347035,0.1782060188095117,-0.9926884921570678,352,352,0.3982905982905982,0.3982905982905982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2686099036238581,0.6991452991452991,0.6991452991452991,0.6991452991452991
0.2,8,10,"{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'O': 8, 'R': 8, 'T': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'I': 8, 'L': 8, 'E': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'A': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.0001697804174782,0.861070791042882,-9359.233333333334,9359.233333333334,0.861070791042882,175805599.5,13259.170392599985,37.75228735186965,33527,7491.546666666667,0.391046297728809,-0.9926884921570678,0.391046297728809,0.4557159084347035,0.1782060188095117,-0.9926884921570678,352,352,0.3982905982905982,0.3982905982905982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2686099036238581,0.6991452991452991,0.6991452991452991,0.6991452991452991
0.4,8,10,"{'O': 9, 'T': 9, 'I': 9, 'E': 9, 'A': 9, 'R': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'L': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'O': 31526, 'T': 31526, 'I': 31526, 'E': 31526, 'A': 31526, 'R': 8, 'H': 8, 'D': 8, 'X': 8, 'Y': 8, 'B': 8, 'G': 8, 'L': 8, 'K': 8, 'C': 8, 'S': 8, 'N': 8, 'P': 8, 'F': 8, 'M': 8, 'U': 8, 'V': 8, 'W': 8, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.3917413354400102,0.7420421675309289,-4106.233333333334,6152.833333333333,0.7420421675309289,70524973.5,8397.914830480242,27.241272255963192,19651,86269981.24666668,0.7819111768079572,0.2006266950380487,0.7819111768079572,0.8467911821208711,0.6621154897227315,0.2006266950380487,352,407,0.3982905982905982,0.3042735042735042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32812421537983466,0.6991452991452991,0.6991452991452991,0.6991452991452991
0.8,8,10,"{'T': 13, 'S': 13, 'O': 12, 'R': 12, 'H': 12, 'I': 12, 'L': 12, 'E': 12, 'C': 12, 'N': 12, 'A': 12, 'D': 11, 'Y': 11, 'F': 11, 'M': 11, 'U': 11, 'W': 11, 'B': 10, 'G': 10, 'K': 10, 'P': 10, 'V': 10, 'X': 9, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'T': 30301, 'S': 30301, 'O': 13466, 'R': 13466, 'H': 13466, 'I': 13466, 'L': 13466, 'E': 13466, 'C': 13466, 'N': 13466, 'A': 13466, 'D': 5985, 'Y': 5985, 'F': 5985, 'M': 5985, 'U': 5985, 'W': 5985, 'B': 2659, 'G': 2659, 'K': 2659, 'P': 2659, 'V': 2659, 'X': 1182, 'Z': 8, 'Q': 8, 'J': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.6952146172084446,0.3519165434128131,-1625.9333333333334,3114.2,0.3519165434128131,29533450.133333333,5434.468707549371,1.134123429614076,20069,62709594.21666667,0.8339955376307252,0.6652497623411139,0.8339955376307252,0.8949392625666595,0.7463753514311259,0.6652497623411139,352,565,0.3982905982905982,0.0341880341880341,1.0,0.6433333333333333,0.5555555555555555,0.9450185918892277,0.8338977689837572,0.7350069851388743,0.3,0.0,0.0,0.967816091954023,0.5231870274388926,0.6716545950899129,0.6160941836371777,0.5666487917147363
1.0,8,10,"{'T': 15, 'A': 15, 'O': 14, 'H': 14, 'I': 14, 'L': 14, 'E': 14, 'S': 14, 'N': 14, 'R': 13, 'U': 13, 'D': 12, 'Y': 12, 'B': 12, 'G': 12, 'C': 12, 'P': 12, 'F': 12, 'M': 12, 'W': 12, 'K': 11, 'V': 11, 'X': 10, 'Q': 9, 'J': 9, 'Z': 8, '1': 2, '8': 2, '7': 2, '0': 2}","{'T': 32767, 'A': 32767, 'O': 16383, 'H': 16383, 'I': 16383, 'L': 16383, 'E': 16383, 'S': 16383, 'N': 16383, 'R': 8191, 'U': 8191, 'D': 4095, 'Y': 4095, 'B': 4095, 'G': 4095, 'C': 4095, 'P': 4095, 'F': 4095, 'M': 4095, 'W': 4095, 'K': 2047, 'V': 2047, 'X': 1023, 'Q': 511, 'J': 511, 'Z': 8, '1': 2, '8': 2, '7': 2, '0': 2}",0.7937456418233055,0.3121611696000343,-1379.5333333333333,2682.5333333333333,0.3121611696000343,20099971.0,4483.299120067721,0.3623669732439538,17152,75139397.34333332,0.8929922008424157,0.7721746007049634,0.8929922008424157,0.9374989087587112,0.8371792138198046,0.7721746007049634,352,564,0.3982905982905982,0.0358974358974358,1.0,1.0,1.0,0.9785459327543404,0.9385772620613848,0.8675034925694372,0.5,0.4,0.0,0.9770114942528736,0.5430647143452819,0.6884182655224693,0.6684339301759915,0.6328970454300177
2.0,8,10,"{'E': 24, 'O': 23, 'T': 23, 'I': 23, 'S': 23, 'A': 23, 'R': 22, 'H': 22, 'N': 22, 'L': 21, 'D': 20, 'Y': 20, 'C': 20, 'M': 20, 'U': 20, 'B': 19, 'G': 19, 'F': 19, 'W': 19, 'P': 18, 'K': 17, 'V': 17, 'X': 13, 'J': 13, 'Q': 12, 'Z': 10, '1': 2, '8': 2, '7': 2, '0': 2}","{'E': 33666, 'O': 22443, 'T': 22443, 'I': 22443, 'S': 22443, 'A': 22443, 'R': 14962, 'H': 14962, 'N': 14962, 'L': 9974, 'D': 6649, 'Y': 6649, 'C': 6649, 'M': 6649, 'U': 6649, 'B': 4432, 'G': 4432, 'F': 4432, 'W': 4432, 'P': 2954, 'K': 1969, 'V': 1969, 'X': 387, 'J': 387, 'Q': 257, 'Z': 113, '1': 2, '8': 2, '7': 2, '0': 2}",0.9659577265303152,0.1336054498383694,-707.8333333333334,1167.3,0.1336054498383694,3504418.833333333,1872.0093037518093,0.039808628287686,6265,84114971.20666666,0.9829166037638296,0.9602787675663208,0.9829166037638296,0.9896918035346496,0.9727845063031768,0.9602787675663208,374,580,0.3606837606837607,0.0085470085470085,1.0,1.0,1.0,0.9992366758865936,1.0,1.0,0.8,1.0,1.0,0.986206896551724,0.6135391554226957,0.6799602182851772,0.6803418803418804,0.6803418803418804
3.0,8,10,"{'T': 32, 'E': 32, 'A': 32, 'I': 31, 'S': 31, 'N': 31, 'O': 30, 'H': 30, 'R': 29, 'L': 29, 'D': 28, 'C': 27, 'M': 27, 'U': 27, 'Y': 26, 'G': 26, 'P': 26, 'F': 26, 'W': 26, 'B': 25, 'V': 23, 'K': 21, 'X': 18, 'J': 16, 'Q': 15, 'Z': 13, '1': 2, '8': 2, '7': 2, '0': 2}","{'T': 29862, 'E': 29862, 'A': 29862, 'I': 22396, 'S': 22396, 'N': 22396, 'O': 16796, 'H': 16796, 'R': 12596, 'L': 12596, 'D': 9446, 'C': 7084, 'M': 7084, 'U': 7084, 'Y': 5312, 'G': 5312, 'P': 5312, 'F': 5312, 'W': 5312, 'B': 3983, 'V': 2239, 'K': 1258, 'X': 529, 'J': 296, 'Q': 221, 'Z': 123, '1': 2, '8': 2, '7': 2, '0': 2}",0.9623105465007884,0.0918401447920953,16.0,1022.4666666666668,0.0918401447920953,3325420.466666667,1823.573542982752,0.0156304375673813,6334,89522446.14555551,0.9822845090801108,0.9623076448397752,0.9822845090801108,0.990798964134073,0.9732464740815204,0.9623076448397752,379,583,0.3521367521367521,0.0034188034188034,1.0,0.8,1.0,0.9974506757937353,0.9623388206609694,1.0,0.7,0.8,1.0,0.9908045977011494,0.6301483036723283,0.6747937139652437,0.6572377863988608,0.6760683760683761
4.0,8,10,"{'E': 41, 'T': 40, 'O': 39, 'A': 39, 'R': 38, 'I': 38, 'H': 37, 'S': 37, 'N': 37, 'L': 36, 'D': 35, 'U': 34, 'Y': 33, 'G': 33, 'C': 33, 'M': 33, 'B': 32, 'F': 32, 'W': 32, 'P': 30, 'V': 29, 'K': 27, 'X': 23, 'Q': 19, 'J': 19, 'Z': 16, '1': 2, '8': 2, '7': 2, '0': 2}","{'E': 37612, 'T': 30089, 'O': 24070, 'A': 24070, 'R': 19255, 'I': 19255, 'H': 15403, 'S': 15403, 'N': 15403, 'L': 12322, 'D': 9857, 'U': 7885, 'Y': 6307, 'G': 6307, 'C': 6307, 'M': 6307, 'B': 5045, 'F': 5045, 'W': 5045, 'P': 3227, 'V': 2581, 'K': 1650, 'X': 674, 'Q': 274, 'J': 274, 'Z': 138, '1': 2, '8': 2, '7': 2, '0': 2}",0.9615845604867076,0.110943234615575,-39.333333333333336,1190.1333333333334,0.110943234615575,3390761.933333333,1841.4021650180964,0.0210123739115944,4256,90571711.12333332,0.9825763513698746,0.9615670245804794,0.9825763513698746,0.9907279005470724,0.9734658057198784,0.9615670245804794,397,584,0.3213675213675214,0.0017094017094017,1.0,1.0,1.0,0.9945732992885749,0.9957336379398422,1.0,0.4,0.6,1.0,0.9586206896551724,0.6052121433759732,0.6579704103280481,0.6585505796536818,0.6606837606837607
