alpha,beta,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,8,10,"{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",2.5132257371773825e-05,0.7440566184212161,-8473.611111111111,8473.611111111111,0.7440566184212161,202927518.3333333,14245.263013834929,30.39466027916923,41397,1647.9143518518522,0.2781143988302925,-0.5475443135189362,0.2781143988302925,0.4309020262049032,0.1198400579727316,-0.5475443135189362,427,427,0.3450920245398773,0.3450920245398773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3005177030593306,0.6725460122699387,0.6725460122699387,0.6725460122699387
0.05,8,10,"{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",2.5132257371773825e-05,0.7440566184212161,-8473.611111111111,8473.611111111111,0.7440566184212161,202927518.3333333,14245.263013834929,30.39466027916923,41397,1647.9143518518522,0.2781143988302925,-0.5475443135189362,0.2781143988302925,0.4309020262049032,0.1198400579727316,-0.5475443135189362,427,427,0.3450920245398773,0.3450920245398773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3005177030593306,0.6725460122699387,0.6725460122699387,0.6725460122699387
0.1,8,10,"{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",2.5132257371773825e-05,0.7440566184212161,-8473.611111111111,8473.611111111111,0.7440566184212161,202927518.3333333,14245.263013834929,30.39466027916923,41397,1647.9143518518522,0.2781143988302925,-0.5475443135189362,0.2781143988302925,0.4309020262049032,0.1198400579727316,-0.5475443135189362,427,427,0.3450920245398773,0.3450920245398773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3005177030593306,0.6725460122699387,0.6725460122699387,0.6725460122699387
0.2,8,10,"{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 8, 'R': 8, 'T': 8, 'D': 8, 'X': 8, 'I': 8, 'A': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'E': 8, 'S': 8, 'N': 8, 'U': 8, 'M': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",2.5132257371773825e-05,0.7440566184212161,-8473.611111111111,8473.611111111111,0.7440566184212161,202927518.3333333,14245.263013834929,30.39466027916923,41397,1647.9143518518522,0.2781143988302925,-0.5475443135189362,0.2781143988302925,0.4309020262049032,0.1198400579727316,-0.5475443135189362,427,427,0.3450920245398773,0.3450920245398773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3005177030593306,0.6725460122699387,0.6725460122699387,0.6725460122699387
0.4,8,10,"{'O': 9, 'D': 9, 'I': 9, 'A': 9, 'E': 9, 'S': 9, 'N': 9, 'U': 9, 'M': 9, 'R': 8, 'T': 8, 'X': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 31526, 'D': 31526, 'I': 31526, 'A': 31526, 'E': 31526, 'S': 31526, 'N': 31526, 'U': 31526, 'M': 31526, 'R': 8, 'T': 8, 'X': 8, 'G': 8, 'K': 8, 'C': 8, 'H': 8, 'P': 8, 'F': 8, '8': 8, '1': 8, '3': 8, '0': 8, 'V': 8, 'L': 8, 'B': 8, '2': 8, 'Q': 8, 'Z': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.5090024894414857,0.6508495297700884,-594.1111111111111,5173.388888888889,0.6508495297700884,64736847.333333336,8045.921161267574,15.123301112424375,19574,126503737.28935188,0.8094528767812661,0.5063107222290059,0.8094528767812661,0.8899703093274811,0.7203890271350428,0.5063107222290059,427,526,0.3450920245398773,0.1932515337423312,0.89,1.0,1.0,0.9849561356284706,1.0,1.0,0.5,1.0,1.0,0.984126984126984,0.34712124738489447,0.665024080084174,0.6725460122699387,0.6725460122699387
0.8,8,10,"{'O': 13, 'A': 13, 'E': 13, 'S': 13, 'R': 12, 'T': 12, 'D': 12, 'I': 12, 'C': 12, 'N': 12, 'U': 12, 'M': 12, 'P': 11, 'V': 11, 'L': 11, 'G': 10, 'H': 10, 'F': 10, 'Q': 10, 'X': 9, 'B': 9, 'Z': 9, 'K': 8, '8': 8, '1': 8, '3': 8, '0': 8, '2': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'O': 30301, 'A': 30301, 'E': 30301, 'S': 30301, 'R': 13466, 'T': 13466, 'D': 13466, 'I': 13466, 'C': 13466, 'N': 13466, 'U': 13466, 'M': 13466, 'P': 5985, 'V': 5985, 'L': 5985, 'G': 2659, 'H': 2659, 'F': 2659, 'Q': 2659, 'X': 1182, 'B': 1182, 'Z': 1182, 'K': 8, '8': 8, '1': 8, '3': 8, '0': 8, '2': 8, 'W': 8, 'J': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.930379641657222,0.2655774277160214,-1226.5833333333333,1751.5833333333333,0.2655774277160214,10633735.75,3260.940930161109,0.844606580257886,11104,107783468.90277778,0.9730627822229968,0.9189061324628026,0.9730627822229968,0.975930064499296,0.9496412238167538,0.9189061324628026,427,631,0.3450920245398773,0.0322085889570552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968253968253968,0.5397572984119279,0.6725460122699387,0.6725460122699387,0.6725460122699387
1.0,8,10,"{'A': 15, 'E': 15, 'O': 14, 'R': 14, 'T': 14, 'D': 14, 'I': 14, 'S': 14, 'N': 14, 'U': 14, 'M': 14, 'L': 13, 'G': 12, 'C': 12, 'P': 12, 'F': 12, 'V': 12, 'Q': 12, 'H': 11, 'B': 11, 'Z': 10, 'J': 10, 'X': 9, 'K': 8, '8': 8, '1': 8, '3': 8, '0': 8, '2': 8, 'W': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'A': 32767, 'E': 32767, 'O': 16383, 'R': 16383, 'T': 16383, 'D': 16383, 'I': 16383, 'S': 16383, 'N': 16383, 'U': 16383, 'M': 16383, 'L': 8191, 'G': 4095, 'C': 4095, 'P': 4095, 'F': 4095, 'V': 4095, 'Q': 4095, 'H': 2047, 'B': 2047, 'Z': 1023, 'J': 1023, 'X': 511, 'K': 8, '8': 8, '1': 8, '3': 8, '0': 8, '2': 8, 'W': 8, 'Y': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.8957119197178992,0.256886073129975,-1467.8055555555557,1962.4722222222224,0.256886073129975,15829616.527777778,3978.645061799026,0.3673623477729205,15617,99984450.24537036,0.9612054034912396,0.8792818576605836,0.9612054034912396,0.9619982813179836,0.9246779461521316,0.8792818576605836,427,627,0.3450920245398773,0.0383435582822085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5441029757049511,0.6725460122699387,0.6725460122699387,0.6725460122699387
2.0,8,10,"{'E': 25, 'O': 24, 'A': 24, 'I': 23, 'S': 23, 'R': 22, 'T': 22, 'D': 22, 'N': 22, 'U': 22, 'M': 22, 'C': 21, 'P': 20, 'L': 20, 'G': 19, 'V': 19, 'H': 18, 'F': 18, 'Q': 18, 'B': 17, 'X': 16, 'Z': 16, 'J': 14, 'W': 10, 'K': 9, '1': 9, 'Y': 9, '8': 8, '3': 8, '0': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'E': 50500, 'O': 33666, 'A': 33666, 'I': 22443, 'S': 22443, 'R': 14962, 'T': 14962, 'D': 14962, 'N': 14962, 'U': 14962, 'M': 14962, 'C': 9974, 'P': 6649, 'L': 6649, 'G': 4432, 'V': 4432, 'H': 2954, 'F': 2954, 'Q': 2954, 'B': 1969, 'X': 1312, 'Z': 1312, 'J': 582, 'W': 113, 'K': 75, '1': 75, 'Y': 75, '8': 8, '3': 8, '0': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.9608640254801376,0.2100821465510456,-174.02777777777777,1053.5833333333333,0.2100821465510456,5162136.25,2272.033505474776,0.0795640661663137,9095,131667715.06018522,0.9811471383264624,0.9606330641358598,0.9811471383264624,0.9902939219484064,0.971624047621768,0.9606330641358598,449,654,0.3113496932515337,-0.0030674846625766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.550633773350244,0.6556748466257669,0.6556748466257669,0.6556748466257669
3.0,8,10,"{'A': 33, 'O': 32, 'E': 32, 'I': 31, 'S': 31, 'R': 30, 'M': 30, 'T': 29, 'D': 29, 'N': 29, 'C': 28, 'U': 28, 'P': 28, 'L': 28, 'G': 25, 'Q': 25, 'F': 24, 'V': 24, 'H': 23, 'B': 22, 'Z': 21, 'X': 20, 'J': 18, 'W': 12, 'Y': 11, 'K': 10, '1': 10, '8': 8, '3': 8, '0': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'A': 39817, 'O': 29862, 'E': 29862, 'I': 22396, 'S': 22396, 'R': 16796, 'M': 16796, 'T': 12596, 'D': 12596, 'N': 12596, 'C': 9446, 'U': 9446, 'P': 9446, 'L': 9446, 'G': 3983, 'Q': 3983, 'F': 2987, 'V': 2987, 'H': 2239, 'B': 1679, 'Z': 1258, 'X': 943, 'J': 529, 'W': 92, 'Y': 68, 'K': 50, '1': 50, '8': 8, '3': 8, '0': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.9624152442071726,0.1664133979057259,-858.9166666666666,1133.9722222222222,0.1664133979057259,5666179.083333333,2380.373727659868,0.0512202635126395,11543,115011460.68055564,0.9857032138497872,0.956789186149762,0.9857032138497872,0.987834643653592,0.9737117830015048,0.956789186149762,453,651,0.3052147239263804,0.0015337423312883,1.0,1.0,1.0,0.9876837448811748,0.9640700016142872,0.9224945116765986,0.8,0.6,0.3333333333333333,0.9936507936507936,0.5694006630103272,0.6464492344037776,0.6346423627703338,0.6138546178014894
4.0,8,10,"{'A': 42, 'E': 41, 'O': 40, 'R': 39, 'S': 39, 'D': 38, 'I': 38, 'M': 37, 'T': 36, 'N': 36, 'U': 36, 'C': 35, 'L': 35, 'P': 33, 'G': 31, 'V': 31, 'Q': 31, 'F': 30, 'B': 29, 'H': 28, 'Z': 26, 'X': 24, 'J': 23, 'W': 14, '1': 12, 'Y': 12, 'K': 11, '8': 9, '0': 9, '3': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}","{'A': 47016, 'E': 37612, 'O': 30089, 'R': 24070, 'S': 24070, 'D': 19255, 'I': 19255, 'M': 15403, 'T': 12322, 'N': 12322, 'U': 12322, 'C': 9857, 'L': 9857, 'P': 6307, 'G': 4035, 'V': 4035, 'Q': 4035, 'F': 3227, 'B': 2581, 'H': 2064, 'Z': 1319, 'X': 843, 'J': 674, 'W': 87, '1': 54, 'Y': 54, 'K': 43, '8': 26, '0': 26, '3': 8, '2': 8, '7': 7, '6': 7, '5': 7, '9': 6, '4': 6}",0.9740547669581332,0.186150724985432,-67.27777777777777,1019.1666666666666,0.186150724985432,3406691.722222222,1845.722547465416,0.0561501578775757,6326,131668604.91435184,0.9873847502011668,0.974020248973936,0.9873847502011668,0.9935732633193518,0.9810390884091365,0.974020248973936,464,653,0.2883435582822086,-0.0015337423312883,1.0,0.8,1.0,0.9849867843357768,0.9264088222752568,0.9224945116765986,0.3,0.4,0.3333333333333333,0.984126984126984,0.5510964166483883,0.6366651713089927,0.6073761902787327,0.6054190349794035
