probability,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,10,"{'E': 1621, 'T': 1150, 'A': 1024, 'O': 922, 'I': 896, 'N': 877, 'H': 842, 'S': 816, 'R': 714, 'D': 494, 'L': 481, 'U': 381, 'C': 298, 'W': 293, 'M': 287, 'Y': 276, 'F': 271, 'G': 214, 'B': 197, 'P': 188, 'V': 119, 'K': 70, 'J': 27, 'Q': 20, 'X': 15, 'Z': 5, '2': 1, '0': 1, '1': 1, '6': 1, '7': 0, '5': 0, '9': 0, '4': 0, '3': 0}","{'E': 64840, 'T': 46000, 'A': 40960, 'O': 36880, 'I': 35840, 'N': 35080, 'H': 33680, 'S': 32640, 'R': 28560, 'D': 19760, 'L': 19240, 'U': 15240, 'C': 11920, 'W': 11720, 'M': 11480, 'Y': 11040, 'F': 10840, 'G': 8560, 'B': 7880, 'P': 7520, 'V': 4760, 'K': 2800, 'J': 1080, 'Q': 800, 'X': 600, 'Z': 200, '2': 40, '0': 40, '1': 40, '6': 40, '7': 0, '5': 0, '9': 0, '4': 0, '3': 0}",0.999726150216052,0.4788449653477993,-30.52777777777778,152.86111111111111,0.4788449653477993,76140.36111111111,275.93542924226153,0.7651026821106517,1052,273530095.12345684,0.9998701344165664,0.999722756805979,0.9998701344165664,0.9999304143637272,0.9998005578170728,0.999722756805979,504,664,0.2620790629575402,0.027818448023426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.39161704880487047,0.6310395314787701,0.6310395314787701,0.6310395314787701
0.03125,10,"{'E': 2026, 'T': 1499, 'A': 1270, 'O': 1178, 'I': 1127, 'N': 1103, 'H': 1067, 'S': 1021, 'R': 896, 'D': 613, 'L': 599, 'U': 478, 'W': 379, 'C': 377, 'M': 371, 'F': 345, 'Y': 344, 'G': 276, 'P': 245, 'B': 233, 'V': 149, 'K': 85, 'J': 34, 'Q': 20, 'X': 20, 'Z': 6, '1': 1, '0': 1, '7': 1, '4': 0, '3': 0, '2': 0, '6': 0, '9': 0, '5': 0}","{'E': 64832, 'T': 47968, 'A': 40640, 'O': 37696, 'I': 36064, 'N': 35296, 'H': 34144, 'S': 32672, 'R': 28672, 'D': 19616, 'L': 19168, 'U': 15296, 'W': 12128, 'C': 12064, 'M': 11872, 'F': 11040, 'Y': 11008, 'G': 8832, 'P': 7840, 'B': 7456, 'V': 4768, 'K': 2720, 'J': 1088, 'Q': 640, 'X': 640, 'Z': 192, '1': 32, '0': 32, '7': 32, '4': 0, '3': 0, '2': 0, '6': 0, '9': 0, '5': 0}",0.9998486063322448,0.3152159000030266,90.80555555555556,129.69444444444446,0.3152159000030266,49823.47222222222,223.2117206201821,0.8029559525262164,916,276184683.1604937,0.9999409217258344,0.9998185821767256,0.9999409217258344,0.999954902255326,0.9998958266454576,0.9998185821767256,513,658,0.2489019033674963,0.0366032210834553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.46684300168223486,0.6244509516837482,0.6244509516837482,0.6244509516837482
0.05,10,"{'E': 3217, 'T': 2328, 'A': 2041, 'O': 1877, 'I': 1821, 'N': 1795, 'H': 1690, 'S': 1636, 'R': 1435, 'D': 987, 'L': 945, 'U': 758, 'C': 582, 'W': 572, 'M': 571, 'F': 555, 'Y': 552, 'G': 431, 'P': 392, 'B': 391, 'V': 244, 'K': 140, 'J': 51, 'Q': 31, 'X': 30, 'Z': 10, '2': 1, '3': 1, '1': 1, '0': 1, '4': 1, '7': 0, '6': 0, '5': 0, '9': 0}","{'E': 64340, 'T': 46560, 'A': 40820, 'O': 37540, 'I': 36420, 'N': 35900, 'H': 33800, 'S': 32720, 'R': 28700, 'D': 19740, 'L': 18900, 'U': 15160, 'C': 11640, 'W': 11440, 'M': 11420, 'F': 11100, 'Y': 11040, 'G': 8620, 'P': 7840, 'B': 7820, 'V': 4880, 'K': 2800, 'J': 1020, 'Q': 620, 'X': 600, 'Z': 200, '2': 20, '3': 20, '1': 20, '0': 20, '4': 20, '7': 0, '6': 0, '5': 0, '9': 0}",0.9998662511284728,0.286244707654163,15.583333333333334,127.19444444444444,0.286244707654163,36974.80555555556,192.2883396245221,0.5153603905398901,542,274674441.2191357,0.9999331629660436,0.9998653668955474,0.9999331629660436,0.9999663478324476,0.9998995130477024,0.9998653668955474,529,664,0.2254758418740849,0.027818448023426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.46961556710996094,0.6127379209370425,0.6127379209370425,0.6127379209370425
0.075,10,"{'E': 4833, 'T': 3545, 'A': 3013, 'O': 2806, 'N': 2705, 'I': 2661, 'H': 2571, 'S': 2449, 'R': 2153, 'D': 1482, 'L': 1452, 'U': 1128, 'C': 890, 'M': 888, 'W': 862, 'F': 834, 'Y': 812, 'G': 657, 'P': 599, 'B': 577, 'V': 349, 'K': 202, 'J': 77, 'X': 51, 'Q': 50, 'Z': 12, '0': 2, '1': 2, '2': 1, '7': 1, '4': 1, '3': 1, '5': 1, '6': 1, '8': 0, '9': 0}","{'E': 64440, 'T': 47267, 'A': 40173, 'O': 37413, 'N': 36067, 'I': 35480, 'H': 34280, 'S': 32653, 'R': 28707, 'D': 19760, 'L': 19360, 'U': 15040, 'C': 11867, 'M': 11840, 'W': 11493, 'F': 11120, 'Y': 10827, 'G': 8760, 'P': 7987, 'B': 7693, 'V': 4653, 'K': 2693, 'J': 1027, 'X': 680, 'Q': 667, 'Z': 160, '0': 27, '1': 27, '2': 13, '7': 13, '4': 13, '3': 13, '5': 13, '6': 13, '8': 0, '9': 0}",0.999898496069285,0.2211532366162833,29.444444444444443,105.5,0.2211532366162833,28743.38888888889,169.53875335417823,0.1615758390772727,579,274728631.5300926,0.9999493464363948,0.9998953392284164,0.9999493464363948,0.9999738445198344,0.9999231922810974,0.9998953392284164,560,682,0.1800878477306003,0.0014641288433382,1.0,0.8,1.0,0.9989773240205482,0.9623388206609694,1.0,0.8,0.8,1.0,0.9904761904761904,0.4794673055571585,0.5895325858755742,0.5712133341957849,0.5900439238653001
0.1,10,"{'E': 6466, 'T': 4710, 'A': 4036, 'O': 3755, 'I': 3652, 'N': 3559, 'H': 3442, 'S': 3256, 'R': 2855, 'D': 1974, 'L': 1936, 'U': 1519, 'W': 1173, 'C': 1168, 'M': 1143, 'F': 1095, 'Y': 1094, 'G': 867, 'B': 778, 'P': 765, 'V': 480, 'K': 272, 'J': 100, 'X': 65, 'Q': 60, 'Z': 18, '0': 4, '1': 2, '3': 1, '4': 1, '5': 1, '2': 1, '6': 1, '9': 0, '8': 0, '7': 0}","{'E': 64660, 'T': 47100, 'A': 40360, 'O': 37550, 'I': 36520, 'N': 35590, 'H': 34420, 'S': 32560, 'R': 28550, 'D': 19740, 'L': 19360, 'U': 15190, 'W': 11730, 'C': 11680, 'M': 11430, 'F': 10950, 'Y': 10940, 'G': 8670, 'B': 7780, 'P': 7650, 'V': 4800, 'K': 2720, 'J': 1000, 'X': 650, 'Q': 600, 'Z': 180, '0': 40, '1': 20, '3': 10, '4': 10, '5': 10, '2': 10, '6': 10, '9': 0, '8': 0, '7': 0}",0.9999608356550972,0.1585306905150612,36.41666666666666,63.41666666666666,0.1585306905150612,12082.027777777776,109.91827772385165,0.2566353889308964,461,275516546.5200617,0.9999856757337378,0.9999560067758744,0.9999856757337378,0.999989037051063,0.9999747129418368,0.9999560067758744,569,678,0.1669106881405563,0.007320644216691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523808,0.5041899988127475,0.5834553440702781,0.5834553440702781,0.5834553440702781
0.125,10,"{'E': 8067, 'T': 5916, 'A': 5067, 'O': 4671, 'I': 4553, 'N': 4450, 'H': 4280, 'S': 4057, 'R': 3551, 'D': 2462, 'L': 2442, 'U': 1908, 'C': 1457, 'W': 1452, 'M': 1444, 'Y': 1371, 'F': 1357, 'G': 1074, 'P': 971, 'B': 957, 'V': 595, 'K': 337, 'J': 131, 'X': 84, 'Q': 79, 'Z': 24, '0': 5, '1': 3, '2': 1, '4': 1, '7': 1, '9': 1, '6': 1, '5': 0, '3': 0, '8': 0}","{'E': 64536, 'T': 47328, 'A': 40536, 'O': 37368, 'I': 36424, 'N': 35600, 'H': 34240, 'S': 32456, 'R': 28408, 'D': 19696, 'L': 19536, 'U': 15264, 'C': 11656, 'W': 11616, 'M': 11552, 'Y': 10968, 'F': 10856, 'G': 8592, 'P': 7768, 'B': 7656, 'V': 4760, 'K': 2696, 'J': 1048, 'X': 672, 'Q': 632, 'Z': 192, '0': 40, '1': 24, '2': 8, '4': 8, '7': 8, '9': 8, '6': 8, '5': 0, '3': 0, '8': 0}",0.9999564882502984,0.1428503257892514,27.25,64.36111111111111,0.1428503257892514,12692.361111111111,112.66037950899648,0.2533762514635284,365,275315251.54320985,0.9999814151335809,0.9999537844228374,0.9999814151335809,0.999988474834977,0.9999698901827516,0.9999537844228374,580,679,0.150805270863836,0.0058565153733528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9873015873015872,0.5039774725372923,0.5754026354319179,0.5754026354319179,0.5754026354319179
0.15,10,"{'E': 9654, 'T': 7039, 'A': 6014, 'O': 5638, 'I': 5377, 'N': 5372, 'H': 5127, 'S': 4880, 'R': 4284, 'D': 2920, 'L': 2903, 'U': 2269, 'C': 1766, 'W': 1754, 'M': 1733, 'Y': 1669, 'F': 1628, 'G': 1294, 'P': 1137, 'B': 1134, 'V': 703, 'K': 405, 'J': 150, 'X': 110, 'Q': 97, 'Z': 28, '0': 5, '1': 3, '2': 2, '4': 2, '7': 2, '5': 1, '6': 1, '3': 1, '9': 0, '8': 0}","{'E': 64360, 'T': 46927, 'A': 40093, 'O': 37587, 'I': 35847, 'N': 35813, 'H': 34180, 'S': 32533, 'R': 28560, 'D': 19467, 'L': 19353, 'U': 15127, 'C': 11773, 'W': 11693, 'M': 11553, 'Y': 11127, 'F': 10853, 'G': 8627, 'P': 7580, 'B': 7560, 'V': 4687, 'K': 2700, 'J': 1000, 'X': 733, 'Q': 647, 'Z': 187, '0': 33, '1': 20, '2': 13, '4': 13, '7': 13, '5': 7, '6': 7, '3': 7, '9': 0, '8': 0}",0.9999684881115772,0.1171929918796687,-13.86111111111111,60.02777777777778,0.1171929918796687,8846.361111111111,94.05509614641365,0.1155750996545326,247,274314988.058642,0.9999848832581896,0.9999677885240612,0.9999848832581896,0.9999919378359046,0.9999768212159678,0.9999677885240612,590,679,0.1361639824304538,0.0058565153733528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5094854952753926,0.5680819912152268,0.5680819912152268,0.5680819912152268
0.175,10,"{'E': 11374, 'T': 8237, 'A': 7078, 'O': 6558, 'I': 6276, 'N': 6242, 'H': 5976, 'S': 5661, 'R': 5008, 'D': 3464, 'L': 3373, 'U': 2635, 'W': 2063, 'C': 2057, 'M': 2024, 'Y': 1947, 'F': 1922, 'G': 1513, 'P': 1360, 'B': 1328, 'V': 842, 'K': 485, 'J': 176, 'X': 119, 'Q': 117, 'Z': 31, '0': 6, '1': 3, '2': 2, '5': 2, '7': 2, '3': 1, '4': 1, '9': 1, '6': 1, '8': 0}","{'E': 64994, 'T': 47069, 'A': 40446, 'O': 37474, 'I': 35863, 'N': 35669, 'H': 34149, 'S': 32349, 'R': 28617, 'D': 19794, 'L': 19274, 'U': 15057, 'W': 11789, 'C': 11754, 'M': 11566, 'Y': 11126, 'F': 10983, 'G': 8646, 'P': 7771, 'B': 7589, 'V': 4811, 'K': 2771, 'J': 1006, 'X': 680, 'Q': 669, 'Z': 177, '0': 34, '1': 17, '2': 11, '5': 11, '7': 11, '3': 6, '4': 6, '9': 6, '6': 6, '8': 0}",0.9999555745280514,0.090333009074445,28.38888888888889,60.44444444444444,0.090333009074445,13006.666666666666,114.04677403007358,0.0266001799203857,516,275296787.732253,0.9999807942519396,0.9999526399696874,0.9999807942519396,0.9999881886443832,0.9999689831231688,0.9999526399696874,594,682,0.130307467057101,0.0014641288433382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.519987228991328,0.5651537335285505,0.5651537335285505,0.5651537335285505
0.2,10,"{'E': 12939, 'T': 9438, 'A': 8044, 'O': 7434, 'I': 7226, 'N': 7095, 'H': 6847, 'S': 6540, 'R': 5721, 'D': 3977, 'L': 3872, 'U': 3036, 'C': 2349, 'W': 2328, 'M': 2312, 'Y': 2182, 'F': 2179, 'G': 1710, 'B': 1543, 'P': 1541, 'V': 928, 'K': 532, 'J': 196, 'X': 131, 'Q': 129, 'Z': 38, '0': 9, '1': 4, '2': 2, '6': 2, '7': 2, '3': 1, '4': 1, '9': 1, '5': 1, '8': 0}","{'E': 64695, 'T': 47190, 'A': 40220, 'O': 37170, 'I': 36130, 'N': 35475, 'H': 34235, 'S': 32700, 'R': 28605, 'D': 19885, 'L': 19360, 'U': 15180, 'C': 11745, 'W': 11640, 'M': 11560, 'Y': 10910, 'F': 10895, 'G': 8550, 'B': 7715, 'P': 7705, 'V': 4640, 'K': 2660, 'J': 980, 'X': 655, 'Q': 645, 'Z': 190, '0': 45, '1': 20, '2': 10, '6': 10, '7': 10, '3': 5, '4': 5, '9': 5, '5': 5, '8': 0}",0.9999737222863494,0.1027334516446348,7.527777777777778,54.25,0.1027334516446348,7273.416666666667,85.28432837671096,0.0360983948491741,267,275065148.1712963,0.999988131911727,0.9999735159481952,0.999988131911727,0.999993389412805,0.999981521402987,0.9999735159481952,603,682,0.1171303074670571,0.0014641288433382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5071984279112112,0.5585651537335286,0.5585651537335286,0.5585651537335286
0.225,10,"{'E': 14497, 'T': 10595, 'A': 9088, 'O': 8429, 'I': 8050, 'N': 7970, 'H': 7689, 'S': 7341, 'R': 6476, 'D': 4441, 'L': 4340, 'U': 3401, 'W': 2642, 'C': 2628, 'M': 2601, 'Y': 2467, 'F': 2452, 'G': 1918, 'P': 1757, 'B': 1712, 'V': 1078, 'K': 606, 'J': 232, 'X': 153, 'Q': 148, 'Z': 42, '0': 9, '1': 5, '2': 2, '4': 2, '7': 2, '9': 2, '3': 1, '6': 1, '5': 1, '8': 0}","{'E': 64431, 'T': 47089, 'A': 40391, 'O': 37462, 'I': 35778, 'N': 35422, 'H': 34173, 'S': 32627, 'R': 28782, 'D': 19738, 'L': 19289, 'U': 15116, 'W': 11742, 'C': 11680, 'M': 11560, 'Y': 10964, 'F': 10898, 'G': 8524, 'P': 7809, 'B': 7609, 'V': 4791, 'K': 2693, 'J': 1031, 'X': 680, 'Q': 658, 'Z': 187, '0': 40, '1': 22, '2': 9, '4': 9, '7': 9, '9': 9, '3': 4, '6': 4, '5': 4, '8': 0}",0.9999815310677014,0.0965018574656382,1.5277777777777777,39.638888888888886,0.0965018574656382,5074.527777777777,71.23571981652026,0.0336462828706671,281,274551754.6712963,0.9999908048254584,0.9999815225687306,0.9999908048254584,0.9999953792825548,0.9999861841505014,0.9999815225687306,609,684,0.1083455344070278,-0.0014641288433382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9873015873015872,0.5059218384706948,0.5541727672035139,0.5541727672035139,0.5541727672035139
