error_rate,support_threshold,counter,counter_transformed,counter_transformed_smoothed,smoothed_estimates,BR,BR_transformed,BS,BS_transformed,BR_transformed_smoothed,BS_transformed_smoothed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cre@10,cre@5,cre@3
0.025,0.025,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}","{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}","{'E': 9907, 'T': 5594, 'A': 4244, 'O': 3732, 'I': 3496, 'N': 3413, 'H': 3181, 'S': 2931, 'R': 2344, 'D': 1266, 'L': 1220, 'U': 836, 'F': 7, 'W': 5, 'G': 0, 'V': 0, 'B': 0, 'C': 0}","{'E': 0.1536526370817612, 'T': 0.11888262477079048, 'A': 0.1053645005078026, 'O': 0.09969786244036563, 'I': 0.09694834580060219, 'N': 0.09596067472898903, 'H': 0.09313932746583556, 'S': 0.08999075180723853, 'R': 0.0820235384962259, 'D': 0.06428736040416697, 'L': 0.06340543997254475, 'U': 0.05520477713551446, 'F': 0.025570654396932034, 'W': 0.025359153116950233, 'G': 0.025015962360753347, 'B': 0.025003990590188336, 'V': 0.02500199529509417, 'C': 0.02500199529509417}",355,355,0.4802342606149341,0.4802342606149341,294,0.5695461200585652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7401171303074671,0.7401171303074671,0.7401171303074671
0.025,0.05,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}","{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138}","{'E': 11519, 'T': 6770, 'A': 5251, 'O': 4668, 'I': 4397, 'N': 4302, 'H': 4034, 'S': 3745, 'R': 3059, 'D': 1758, 'L': 1702, 'U': 1214}","{'E': 0.1786526370817612, 'T': 0.14388262477079047, 'A': 0.1303645005078026, 'O': 0.12469786244036563, 'I': 0.12194834580060218, 'N': 0.12096067472898904, 'H': 0.11813932746583557, 'S': 0.11499075180723853, 'R': 0.1070235384962259, 'D': 0.08928736040416697, 'L': 0.08840543997254474, 'U': 0.08020477713551447, 'F': 0.050570654396932035, 'W': 0.05035915311695023, 'G': 0.05001596236075335, 'B': 0.05000399059018834, 'V': 0.05000199529509417, 'C': 0.05000199529509417}",355,282,0.4802342606149341,0.5871156661786238,244,0.6427525622254758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7401171303074671,0.7401171303074671,0.7401171303074671
0.025,0.075,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}","{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579}","{'E': 13131, 'T': 7946, 'A': 6258, 'O': 5604, 'I': 5299, 'N': 5191, 'H': 4888, 'S': 4560, 'R': 3773}","{'E': 0.2036526370817612, 'T': 0.16888262477079047, 'A': 0.1553645005078026, 'O': 0.14969786244036565, 'I': 0.14694834580060218, 'N': 0.14596067472898905, 'H': 0.14313932746583558, 'S': 0.13999075180723852, 'R': 0.13202353849622592, 'D': 0.11428736040416698, 'L': 0.11340543997254475, 'U': 0.10520477713551446, 'F': 0.07557065439693204, 'W': 0.07535915311695024, 'G': 0.07501596236075335, 'B': 0.07500399059018835, 'V': 0.07500199529509417, 'C': 0.07500199529509417}",355,214,0.4802342606149341,0.6866764275256223,189,0.7232796486090776,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,,0.7352939344778633,0.7401171303074671,0.7401171303074671
0.025,0.1,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}","{'E': 64478, 'T': 47052, 'A': 40277}","{'E': 14743, 'T': 9123, 'A': 7265}","{'E': 0.2286526370817612, 'T': 0.1938826247707905, 'A': 0.18036450050780262, 'O': 0.17469786244036561, 'I': 0.1719483458006022, 'N': 0.17096067472898904, 'H': 0.16813932746583557, 'S': 0.16499075180723854, 'R': 0.1570235384962259, 'D': 0.13928736040416698, 'L': 0.13840543997254473, 'U': 0.13020477713551445, 'F': 0.10057065439693204, 'W': 0.10035915311695023, 'G': 0.10001596236075334, 'B': 0.10000399059018834, 'V': 0.10000199529509417, 'C': 0.10000199529509417}",355,72,0.4802342606149341,0.8945827232796486,65,0.904831625183016,0.3,0.6,1.0,0.6566874470978848,0.8784837378625933,1.0,0.3,0.6,1.0,,0.5684608538564095,0.6793589992387636,0.7401171303074671
0.025,0.125,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{'E': 64478},{'E': 16355},"{'E': 0.2536526370817612, 'T': 0.21888262477079046, 'A': 0.20536450050780258, 'O': 0.19969786244036564, 'I': 0.19694834580060216, 'N': 0.19596067472898904, 'H': 0.19313932746583556, 'S': 0.1899907518072385, 'R': 0.1820235384962259, 'D': 0.16428736040416697, 'L': 0.16340543997254475, 'U': 0.15520477713551445, 'F': 0.12557065439693205, 'W': 0.12535915311695023, 'G': 0.12501596236075335, 'B': 0.12500399059018832, 'V': 0.12500199529509418, 'C': 0.12500199529509418}",355,24,0.4802342606149341,0.9648609077598828,22,0.9677891654465594,0.1,0.2,0.3333333333333333,0.3337103231162228,0.4867636816216399,0.6300059872618923,0.1,0.2,0.3333333333333333,,0.4069722918655785,0.483498971118287,0.5551201239384131
0.025,0.15,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{'E': 64478},{'E': 17967},"{'E': 0.27865263708176125, 'T': 0.24388262477079048, 'A': 0.2303645005078026, 'O': 0.22469786244036566, 'I': 0.2219483458006022, 'N': 0.22096067472898906, 'H': 0.2181393274658356, 'S': 0.21499075180723853, 'R': 0.20702353849622593, 'D': 0.189287360404167, 'L': 0.18840543997254477, 'U': 0.18020477713551447, 'F': 0.15057065439693207, 'W': 0.15035915311695025, 'G': 0.15001596236075337, 'B': 0.15000399059018835, 'V': 0.1500019952950942, 'C': 0.1500019952950942}",355,24,0.4802342606149341,0.9648609077598828,23,0.9663250366032212,0.1,0.2,0.3333333333333333,0.3337103231162228,0.4867636816216399,0.6300059872618923,0.1,0.2,0.3333333333333333,,0.4069722918655785,0.483498971118287,0.5551201239384131
0.025,0.175,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{},{},"{'E': 0.3036526370817612, 'T': 0.2688826247707905, 'A': 0.2553645005078026, 'O': 0.24969786244036563, 'I': 0.2469483458006022, 'N': 0.24596067472898905, 'H': 0.24313932746583558, 'S': 0.23999075180723856, 'R': 0.23202353849622592, 'D': 0.214287360404167, 'L': 0.21340543997254474, 'U': 0.20520477713551447, 'F': 0.17557065439693206, 'W': 0.17535915311695024, 'G': 0.17501596236075337, 'B': 0.17500399059018834, 'V': 0.1750019952950942, 'C': 0.1750019952950942}",355,0,0.4802342606149341,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.240117130307467,0.240117130307467,0.240117130307467
0.025,0.2,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{},{},"{'E': 0.3286526370817612, 'T': 0.29388262477079047, 'A': 0.2803645005078026, 'O': 0.27469786244036565, 'I': 0.2719483458006022, 'N': 0.27096067472898905, 'H': 0.2681393274658356, 'S': 0.2649907518072385, 'R': 0.2570235384962259, 'D': 0.23928736040416698, 'L': 0.23840543997254476, 'U': 0.23020477713551446, 'F': 0.20057065439693206, 'W': 0.20035915311695024, 'G': 0.20001596236075336, 'B': 0.20000399059018834, 'V': 0.2000019952950942, 'C': 0.2000019952950942}",355,0,0.4802342606149341,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.240117130307467,0.240117130307467,0.240117130307467
0.025,0.225,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{},{},"{'E': 0.3536526370817612, 'T': 0.3188826247707905, 'A': 0.3053645005078026, 'O': 0.2996978624403656, 'I': 0.2969483458006022, 'N': 0.295960674728989, 'H': 0.2931393274658356, 'S': 0.28999075180723854, 'R': 0.2820235384962259, 'D': 0.264287360404167, 'L': 0.26340543997254473, 'U': 0.2552047771355145, 'F': 0.22557065439693205, 'W': 0.22535915311695023, 'G': 0.22501596236075336, 'B': 0.22500399059018833, 'V': 0.22500199529509418, 'C': 0.22500199529509418}",355,0,0.4802342606149341,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.240117130307467,0.240117130307467,0.240117130307467
0.025,0.25,"{'E': 64478, 'T': 47052, 'A': 40277, 'O': 37437, 'I': 36059, 'N': 35564, 'H': 34150, 'S': 32572, 'R': 28579, 'D': 19690, 'L': 19248, 'U': 15138, 'F': 286, 'W': 180, 'G': 8, 'B': 2, 'V': 1, 'C': 1}",{},{},"{'E': 0.3786526370817612, 'T': 0.34388262477079046, 'A': 0.3303645005078026, 'O': 0.32469786244036564, 'I': 0.32194834580060216, 'N': 0.32096067472898904, 'H': 0.31813932746583556, 'S': 0.3149907518072385, 'R': 0.3070235384962259, 'D': 0.28928736040416697, 'L': 0.28840543997254475, 'U': 0.28020477713551445, 'F': 0.25057065439693205, 'W': 0.25035915311695023, 'G': 0.25001596236075335, 'B': 0.25000399059018835, 'V': 0.25000199529509415, 'C': 0.25000199529509415}",355,0,0.4802342606149341,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.240117130307467,0.240117130307467,0.240117130307467
