alpha,beta,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,8,10,"{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",4.5041342494389625e-05,0.7704896185752181,-13914.083333333334,13914.083333333334,0.7704896185752181,468223178.3611111,21638.465249668498,37.20212685441736,64470,6185.839506172839,0.2780274715297815,-0.7048998401000877,0.2780274715297815,0.4453867111272657,0.1238297411476788,-0.7048998401000877,425,425,0.3777452415812591,0.3777452415812591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3036278115030205,0.6888726207906295,0.6888726207906295,0.6888726207906295
0.05,8,10,"{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",4.5041342494389625e-05,0.7704896185752181,-13914.083333333334,13914.083333333334,0.7704896185752181,468223178.3611111,21638.465249668498,37.20212685441736,64470,6185.839506172839,0.2780274715297815,-0.7048998401000877,0.2780274715297815,0.4453867111272657,0.1238297411476788,-0.7048998401000877,425,425,0.3777452415812591,0.3777452415812591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3036278115030205,0.6888726207906295,0.6888726207906295,0.6888726207906295
0.1,8,10,"{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",4.5041342494389625e-05,0.7704896185752181,-13914.083333333334,13914.083333333334,0.7704896185752181,468223178.3611111,21638.465249668498,37.20212685441736,64470,6185.839506172839,0.2780274715297815,-0.7048998401000877,0.2780274715297815,0.4453867111272657,0.1238297411476788,-0.7048998401000877,425,425,0.3777452415812591,0.3777452415812591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3036278115030205,0.6888726207906295,0.6888726207906295,0.6888726207906295
0.2,8,10,"{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 8, 'H': 8, 'E': 8, 'R': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'Y': 8, 'A': 8, 'O': 8, 'N': 8, 'S': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'D': 8, 'G': 8, 'F': 8, 'M': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",4.5041342494389625e-05,0.7704896185752181,-13914.083333333334,13914.083333333334,0.7704896185752181,468223178.3611111,21638.465249668498,37.20212685441736,64470,6185.839506172839,0.2780274715297815,-0.7048998401000877,0.2780274715297815,0.4453867111272657,0.1238297411476788,-0.7048998401000877,425,425,0.3777452415812591,0.3777452415812591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3036278115030205,0.6888726207906295,0.6888726207906295,0.6888726207906295
0.4,8,10,"{'T': 9, 'H': 9, 'E': 9, 'R': 9, 'I': 9, 'Y': 9, 'A': 9, 'O': 9, 'N': 9, 'S': 9, 'D': 9, 'F': 9, 'M': 9, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'C': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'G': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 31526, 'H': 31526, 'E': 31526, 'R': 31526, 'I': 31526, 'Y': 31526, 'A': 31526, 'O': 31526, 'N': 31526, 'S': 31526, 'D': 31526, 'F': 31526, 'M': 31526, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'C': 8, 'K': 8, 'V': 8, 'X': 8, 'W': 8, 'G': 8, 'Q': 8, 'J': 8, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.6213481864287469,0.6249427032557101,-2532.583333333333,6749.472222222223,0.6249427032557101,110404577.3611111,10507.358248442426,13.95944125050893,32952,199918463.82561728,0.7968462901273548,0.5979935317424481,0.7968462901273548,0.8821051767277741,0.7029022375776615,0.5979935317424481,425,568,0.3777452415812591,0.1683748169838946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.961904761904762,0.3764012691627745,0.6888726207906295,0.6888726207906295,0.6888726207906295
0.8,8,10,"{'T': 14, 'E': 14, 'A': 14, 'H': 13, 'R': 13, 'I': 13, 'O': 13, 'N': 13, 'S': 13, 'U': 12, 'L': 12, 'C': 12, 'Y': 12, 'W': 12, 'D': 12, 'M': 12, 'P': 11, 'B': 11, 'V': 11, 'G': 11, 'F': 11, 'K': 10, 'X': 9, 'Q': 9, 'J': 9, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 68177, 'E': 68177, 'A': 68177, 'H': 30301, 'R': 30301, 'I': 30301, 'O': 30301, 'N': 30301, 'S': 30301, 'U': 13466, 'L': 13466, 'C': 13466, 'Y': 13466, 'W': 13466, 'D': 13466, 'M': 13466, 'P': 5985, 'B': 5985, 'V': 5985, 'G': 5985, 'F': 5985, 'K': 2659, 'X': 1182, 'Q': 1182, 'J': 1182, 'Z': 8, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.8487049917933311,0.2603576023348267,433.94444444444446,3163.222222222222,0.2603576023348267,41739035.833333336,6460.575503260784,0.4038454548121107,27899,303957235.3773148,0.9473653664767424,0.8480193232482397,0.9473653664767424,0.966826176729354,0.915937635236512,0.8480193232482397,425,674,0.3777452415812591,0.0131771595900439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5586938196232163,0.6888726207906295,0.6888726207906295,0.6888726207906295
1.0,8,10,"{'E': 16, 'T': 15, 'I': 15, 'A': 15, 'O': 15, 'N': 15, 'S': 15, 'H': 14, 'R': 14, 'U': 14, 'L': 14, 'D': 14, 'P': 13, 'C': 13, 'Y': 13, 'W': 13, 'F': 13, 'M': 13, 'B': 12, 'K': 12, 'V': 12, 'G': 12, 'X': 10, 'J': 10, 'Q': 9, 'Z': 9, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'E': 65535, 'T': 32767, 'I': 32767, 'A': 32767, 'O': 32767, 'N': 32767, 'S': 32767, 'H': 16383, 'R': 16383, 'U': 16383, 'L': 16383, 'D': 16383, 'P': 8191, 'C': 8191, 'Y': 8191, 'W': 8191, 'F': 8191, 'M': 8191, 'B': 4095, 'K': 4095, 'V': 4095, 'G': 4095, 'X': 1023, 'J': 1023, 'Q': 511, 'Z': 511, '2': 8, '1': 8, '4': 8, '0': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.9335678511309046,0.2667142735231152,-2457.472222222222,2736.361111111112,0.2667142735231152,24283685.416666668,4927.847949832327,0.2008102347683011,17769,236802685.44907403,0.9695353413086556,0.9115779540670548,0.9695353413086556,0.9750037831031804,0.9453006256281724,0.9115779540670548,426,661,0.3762811127379209,0.0322108345534407,1.0,1.0,1.0,0.9994037111591912,1.0,1.0,0.8,1.0,1.0,0.9936507936507936,0.5547834196074029,0.6878424119485561,0.6881405563689604,0.6881405563689604
2.0,8,10,"{'E': 26, 'T': 25, 'H': 24, 'A': 24, 'O': 24, 'N': 24, 'S': 24, 'R': 23, 'L': 23, 'I': 23, 'D': 23, 'U': 22, 'Y': 22, 'C': 21, 'W': 21, 'F': 21, 'M': 21, 'P': 20, 'B': 20, 'G': 20, 'V': 19, 'K': 18, 'J': 16, 'X': 14, 'Q': 14, 'Z': 12, '0': 9, '2': 8, '1': 8, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'E': 75752, 'T': 50500, 'H': 33666, 'A': 33666, 'O': 33666, 'N': 33666, 'S': 33666, 'R': 22443, 'L': 22443, 'I': 22443, 'D': 22443, 'U': 14962, 'Y': 14962, 'C': 9974, 'W': 9974, 'F': 9974, 'M': 9974, 'P': 6649, 'B': 6649, 'G': 6649, 'V': 4432, 'K': 2954, 'J': 1312, 'X': 582, 'Q': 582, 'Z': 257, '0': 75, '2': 8, '1': 8, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.9528234295675468,0.1624953980953391,-466.8888888888889,1933.111111111111,0.1624953980953391,13174267.611111112,3629.637393888144,0.056986416100669,13616,276149724.8819445,0.9774699783366234,0.9520296991228904,0.9774699783366234,0.9882174043823791,0.9659528448535184,0.9520296991228904,448,685,0.3440702781844802,-0.0029282576866764,1.0,0.8,1.0,0.9956618092713084,0.9623388206609694,1.0,0.6,0.8,1.0,0.9809523809523808,0.5907874400445705,0.6698660437278943,0.6532045494227248,0.6720351390922401
3.0,8,10,"{'T': 34, 'E': 34, 'H': 32, 'I': 32, 'A': 32, 'O': 32, 'N': 32, 'S': 32, 'R': 31, 'D': 31, 'U': 29, 'L': 29, 'Y': 29, 'W': 29, 'F': 29, 'B': 28, 'C': 28, 'M': 28, 'P': 27, 'G': 27, 'V': 25, 'K': 23, 'J': 20, 'Q': 19, 'X': 18, 'Z': 14, '0': 11, '1': 9, '2': 8, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'T': 53090, 'E': 53090, 'H': 29862, 'I': 29862, 'A': 29862, 'O': 29862, 'N': 29862, 'S': 29862, 'R': 22396, 'D': 22396, 'U': 12596, 'L': 12596, 'Y': 12596, 'W': 12596, 'F': 12596, 'B': 9446, 'C': 9446, 'M': 9446, 'P': 7084, 'G': 7084, 'V': 3983, 'K': 2239, 'J': 943, 'Q': 707, 'X': 529, 'Z': 165, '0': 68, '1': 37, '2': 8, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.9536553691261664,0.1750046116146665,-1578.611111111111,2404.6666666666665,0.1750046116146665,15219816.666666666,3901.258344004748,0.0487511015977639,11388,237758610.371142,0.981628668677226,0.9445814214234812,0.981628668677226,0.9842643624781536,0.9661821157658688,0.9445814214234812,458,678,0.3294289897510981,0.007320644216691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9746031746031746,0.5772121890682158,0.664714494875549,0.664714494875549,0.664714494875549
4.0,8,10,"{'E': 43, 'T': 42, 'I': 42, 'H': 41, 'A': 41, 'O': 41, 'N': 40, 'R': 39, 'S': 39, 'D': 38, 'U': 37, 'L': 37, 'F': 36, 'C': 35, 'Y': 35, 'W': 35, 'M': 35, 'G': 34, 'P': 33, 'B': 33, 'V': 32, 'K': 30, 'Q': 24, 'J': 24, 'X': 23, 'Z': 17, '0': 12, '2': 9, '1': 9, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}","{'E': 58771, 'T': 47016, 'I': 47016, 'H': 37612, 'A': 37612, 'O': 37612, 'N': 30089, 'R': 24070, 'S': 24070, 'D': 19255, 'U': 15403, 'L': 15403, 'F': 12322, 'C': 9857, 'Y': 9857, 'W': 9857, 'M': 9857, 'G': 7885, 'P': 6307, 'B': 6307, 'V': 5045, 'K': 3227, 'Q': 843, 'J': 843, 'X': 674, 'Z': 174, '0': 54, '2': 26, '1': 26, '4': 8, '7': 8, '5': 7, '3': 6, '6': 5, '9': 5, '8': 1}",0.968510089991688,0.1464948780076606,-668.0277777777778,1631.138888888889,0.1464948780076606,9094455.805555556,3015.7015445092634,0.0373932089752761,10957,263890705.63734564,0.9841601146472158,0.9668851586908608,0.9841601146472158,0.9914578559782092,0.9757532772073972,0.9668851586908608,472,681,0.3089311859443631,0.0029282576866764,1.0,1.0,0.6666666666666666,0.9931474424403623,0.9822359844138904,0.894999002123018,0.5,0.4,0.6666666666666666,0.9746031746031746,0.5812181539683512,0.6510393141923627,0.6455835851791267,0.6019650940336905
