error_rate,support_threshold,counter,counter_transformed,counter_transformed_smoothed,smoothed_estimates,BR,BR_transformed,BS,BS_transformed,BR_transformed_smoothed,BS_transformed_smoothed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cre@10,cre@5,cre@3
0.025,0.025,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 12109, 'A': 10791, 'O': 7499, 'S': 6053, 'R': 3045, 'I': 2478, 'M': 2021, 'T': 1766, 'D': 1752, 'U': 1715, 'N': 1708, 'C': 1163, 'L': 181, 'P': 20, 'G': 0, 'Q': 0, 'B': 0}","{'E': 0.1655190594544344, 'A': 0.1570082822097673, 'O': 0.13316811810216006, 'S': 0.12105020033267133, 'R': 0.08998999297010951, 'I': 0.08261821164195962, 'M': 0.07605121832227629, 'T': 0.0720618515118106, 'D': 0.07184288770998437, 'U': 0.07123593541720288, 'N': 0.07111684984077106, 'C': 0.06139408874564473, 'L': 0.034934041956537605, 'P': 0.026463600149049044, 'G': 0.02500192073510374, 'Q': 0.02500192073510374, 'B': 0.02500192073510374}",349,349,0.4154103852596315,0.4154103852596315,293,0.509212730318258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7077051926298157,0.7077051926298157,0.7077051926298157
0.025,0.05,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948}","{'E': 13938, 'A': 12509, 'O': 8907, 'S': 7304, 'R': 3891, 'I': 3228, 'M': 2686, 'T': 2378, 'D': 2362, 'U': 2317, 'N': 2308, 'C': 1637}","{'E': 0.19051905945443443, 'A': 0.18200828220976734, 'O': 0.15816811810216005, 'S': 0.14605020033267133, 'R': 0.11498999297010952, 'I': 0.10761821164195962, 'M': 0.1010512183222763, 'T': 0.0970618515118106, 'D': 0.09684288770998437, 'U': 0.09623593541720288, 'N': 0.09611684984077107, 'C': 0.08639408874564473, 'L': 0.059934041956537606, 'P': 0.05146360014904905, 'G': 0.05000192073510374, 'Q': 0.05000192073510374, 'B': 0.05000192073510374}",349,283,0.4154103852596315,0.525963149078727,246,0.5879396984924623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7077051926298157,0.7077051926298157,0.7077051926298157
0.025,0.075,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579}","{'E': 15767, 'A': 14227, 'O': 10315, 'S': 8554, 'R': 4737, 'I': 3978, 'M': 3350}","{'E': 0.21551905945443442, 'A': 0.20700828220976733, 'O': 0.18316811810216005, 'S': 0.17105020033267132, 'R': 0.13998999297010953, 'I': 0.13261821164195964, 'M': 0.1260512183222763, 'T': 0.12206185151181062, 'D': 0.12184288770998437, 'U': 0.12123593541720289, 'N': 0.12111684984077106, 'C': 0.11139408874564474, 'L': 0.08493404195653761, 'P': 0.07646360014904906, 'G': 0.07500192073510376, 'Q': 0.07500192073510376, 'B': 0.07500192073510376}",349,168,0.4154103852596315,0.7185929648241206,149,0.7504187604690117,0.7,1.0,1.0,0.9386800791274564,1.0,1.0,0.7,1.0,1.0,,0.677045232193544,0.7077051926298157,0.7077051926298157
0.025,0.1,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007}","{'E': 17596, 'A': 15945, 'O': 11723, 'S': 9804}","{'E': 0.24051905945443441, 'A': 0.23200828220976732, 'O': 0.20816811810216007, 'S': 0.19605020033267134, 'R': 0.16498999297010952, 'I': 0.1576182116419596, 'M': 0.1510512183222763, 'T': 0.14706185151181062, 'D': 0.14684288770998438, 'U': 0.14623593541720287, 'N': 0.14611684984077106, 'C': 0.13639408874564474, 'L': 0.10993404195653761, 'P': 0.10146360014904905, 'G': 0.10000192073510375, 'Q': 0.10000192073510375, 'B': 0.10000192073510375}",349,98,0.4154103852596315,0.8358458961474037,89,0.8509212730318257,0.4,0.8,1.0,0.7572922964451632,0.9623388206609694,1.0,0.4,0.8,1.0,,0.5863513408523973,0.6888746029603005,0.7077051926298157
0.025,0.125,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728, 'O': 56316}","{'E': 19425, 'A': 17664, 'O': 13131}","{'E': 0.26551905945443444, 'A': 0.25700828220976735, 'O': 0.23316811810216004, 'S': 0.2210502003326713, 'R': 0.18998999297010952, 'I': 0.18261821164195963, 'M': 0.1760512183222763, 'T': 0.1720618515118106, 'D': 0.17184288770998435, 'U': 0.1712359354172029, 'N': 0.17111684984077105, 'C': 0.16139408874564473, 'L': 0.1349340419565376, 'P': 0.12646360014904903, 'G': 0.12500192073510374, 'Q': 0.12500192073510374, 'B': 0.12500192073510374}",349,74,0.4154103852596315,0.8760469011725294,68,0.8860971524288107,0.3,0.6,1.0,0.6566874470978848,0.8784837378625933,1.0,0.3,0.6,1.0,,0.5360489161787582,0.6469470615611124,0.7077051926298157
0.025,0.15,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}","{'E': 73159, 'A': 68728}","{'E': 21254, 'A': 19382}","{'E': 0.29051905945443446, 'A': 0.28200828220976737, 'O': 0.25816811810216006, 'S': 0.24605020033267133, 'R': 0.21498999297010954, 'I': 0.20761821164195965, 'M': 0.20105121832227632, 'T': 0.19706185151181063, 'D': 0.19684288770998437, 'U': 0.1962359354172029, 'N': 0.19611684984077107, 'C': 0.18639408874564475, 'L': 0.15993404195653763, 'P': 0.15146360014904905, 'G': 0.15000192073510377, 'Q': 0.15000192073510377, 'B': 0.15000192073510377}",349,50,0.4154103852596315,0.916247906197655,46,0.9229480737018424,0.2,0.4,0.6666666666666666,0.5232033178513957,0.7324546333761013,0.894999002123018,0.2,0.4,0.6666666666666666,,0.4693068515555136,0.5739325093178664,0.6552046936913247
0.025,0.175,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}",{},{},"{'E': 0.3155190594544344, 'A': 0.30700828220976734, 'O': 0.2831681181021601, 'S': 0.27105020033267135, 'R': 0.23998999297010953, 'I': 0.23261821164195962, 'M': 0.22605121832227631, 'T': 0.22206185151181063, 'D': 0.2218428877099844, 'U': 0.22123593541720288, 'N': 0.22111684984077107, 'C': 0.21139408874564475, 'L': 0.18493404195653762, 'P': 0.17646360014904905, 'G': 0.17500192073510376, 'Q': 0.17500192073510376, 'B': 0.17500192073510376}",349,0,0.4154103852596315,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2077051926298157,0.2077051926298157,0.2077051926298157
0.025,0.2,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}",{},{},"{'E': 0.3405190594544344, 'A': 0.3320082822097673, 'O': 0.30816811810216005, 'S': 0.2960502003326713, 'R': 0.2649899929701095, 'I': 0.25761821164195964, 'M': 0.2510512183222763, 'T': 0.24706185151181062, 'D': 0.24684288770998436, 'U': 0.2462359354172029, 'N': 0.24611684984077106, 'C': 0.23639408874564474, 'L': 0.20993404195653761, 'P': 0.20146360014904904, 'G': 0.20000192073510376, 'Q': 0.20000192073510376, 'B': 0.20000192073510376}",349,0,0.4154103852596315,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2077051926298157,0.2077051926298157,0.2077051926298157
0.025,0.225,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}",{},{},"{'E': 0.3655190594544344, 'A': 0.3570082822097673, 'O': 0.33316811810216007, 'S': 0.32105020033267134, 'R': 0.2899899929701095, 'I': 0.2826182116419596, 'M': 0.2760512183222763, 'T': 0.2720618515118106, 'D': 0.2718428877099844, 'U': 0.27123593541720287, 'N': 0.27111684984077106, 'C': 0.26139408874564474, 'L': 0.2349340419565376, 'P': 0.22646360014904904, 'G': 0.22500192073510375, 'Q': 0.22500192073510375, 'B': 0.22500192073510375}",349,0,0.4154103852596315,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2077051926298157,0.2077051926298157,0.2077051926298157
0.025,0.25,"{'E': 73159, 'A': 68728, 'O': 56316, 'S': 50007, 'R': 33836, 'I': 29998, 'M': 26579, 'T': 24502, 'D': 24388, 'U': 24072, 'N': 24010, 'C': 18948, 'L': 5172, 'P': 762, 'G': 1, 'Q': 1, 'B': 1}",{},{},"{'E': 0.39051905945443444, 'A': 0.38200828220976735, 'O': 0.35816811810216004, 'S': 0.3460502003326713, 'R': 0.31498999297010954, 'I': 0.3076182116419596, 'M': 0.3010512183222763, 'T': 0.2970618515118106, 'D': 0.29684288770998435, 'U': 0.2962359354172029, 'N': 0.2961168498407711, 'C': 0.28639408874564476, 'L': 0.25993404195653763, 'P': 0.25146360014904906, 'G': 0.25000192073510374, 'Q': 0.25000192073510374, 'B': 0.25000192073510374}",349,0,0.4154103852596315,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2077051926298157,0.2077051926298157,0.2077051926298157
