alpha,beta,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,8,10,"{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",5.460030132453664e-05,0.8724063562431315,-17347.133333333335,17347.133333333335,0.8724063562431315,724588649.8,26918.18437042142,42.84762699356977,73151,11568.777777777776,0.2802405540013119,-0.7101909183396922,0.2802405540013119,0.4401728012870344,0.1233542696889879,-0.7101909183396922,352,352,0.4103852596314908,0.4103852596314908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26898945169417965,0.7051926298157454,0.7051926298157454,0.7051926298157454
0.05,8,10,"{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",5.460030132453664e-05,0.8724063562431315,-17347.133333333335,17347.133333333335,0.8724063562431315,724588649.8,26918.18437042142,42.84762699356977,73151,11568.777777777776,0.2802405540013119,-0.7101909183396922,0.2802405540013119,0.4401728012870344,0.1233542696889879,-0.7101909183396922,352,352,0.4103852596314908,0.4103852596314908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26898945169417965,0.7051926298157454,0.7051926298157454,0.7051926298157454
0.1,8,10,"{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",5.460030132453664e-05,0.8724063562431315,-17347.133333333335,17347.133333333335,0.8724063562431315,724588649.8,26918.18437042142,42.84762699356977,73151,11568.777777777776,0.2802405540013119,-0.7101909183396922,0.2802405540013119,0.4401728012870344,0.1233542696889879,-0.7101909183396922,352,352,0.4103852596314908,0.4103852596314908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26898945169417965,0.7051926298157454,0.7051926298157454,0.7051926298157454
0.2,8,10,"{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 8, 'R': 8, 'E': 8, 'P': 8, 'U': 8, 'B': 8, 'L': 8, 'I': 8, 'C': 8, 'T': 8, 'O': 8, 'V': 8, 'S': 8, 'M': 8, 'N': 8, 'H': 8, 'D': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'Q': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",5.460030132453664e-05,0.8724063562431315,-17347.133333333335,17347.133333333335,0.8724063562431315,724588649.8,26918.18437042142,42.84762699356977,73151,11568.777777777776,0.2802405540013119,-0.7101909183396922,0.2802405540013119,0.4401728012870344,0.1233542696889879,-0.7101909183396922,352,352,0.4103852596314908,0.4103852596314908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26898945169417965,0.7051926298157454,0.7051926298157454,0.7051926298157454
0.4,8,10,"{'O': 10, 'A': 9, 'R': 9, 'E': 9, 'P': 9, 'U': 9, 'L': 9, 'I': 9, 'C': 9, 'S': 9, 'N': 9, 'D': 9, 'Q': 9, 'B': 8, 'T': 8, 'V': 8, 'M': 8, 'H': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'O': 110341, 'A': 31526, 'R': 31526, 'E': 31526, 'P': 31526, 'U': 31526, 'L': 31526, 'I': 31526, 'C': 31526, 'S': 31526, 'N': 31526, 'D': 31526, 'Q': 31526, 'B': 8, 'T': 8, 'V': 8, 'M': 8, 'H': 8, 'G': 8, 'F': 8, 'Z': 8, 'J': 8, 'X': 8, '6': 8, '9': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",0.2620497985446501,0.7679658782378727,-1062.1666666666667,11145.366666666669,0.7679658782378727,313789395.3,17714.10159449245,14.955045082448343,54025,324490944.19333327,0.679683002125794,0.2593869994216908,0.679683002125794,0.8137304380984013,0.553078747087859,0.2593869994216908,352,497,0.4103852596314908,0.1675041876046901,0.8,1.0,1.0,0.8979583415748036,0.9153936334521232,0.8174935137996165,0.3,0.4,0.0,0.9264367816091954,0.32120969069680905,0.6541718006031472,0.662889446541807,0.6139393867155537
0.8,8,10,"{'A': 14, 'E': 14, 'O': 14, 'R': 13, 'I': 13, 'T': 13, 'S': 13, 'P': 12, 'U': 12, 'L': 12, 'C': 12, 'M': 12, 'N': 12, 'D': 12, 'Q': 12, 'V': 11, 'G': 11, 'F': 11, 'B': 10, 'H': 10, 'Z': 10, 'J': 9, 'X': 9, '9': 9, '6': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 68177, 'E': 68177, 'O': 68177, 'R': 30301, 'I': 30301, 'T': 30301, 'S': 30301, 'P': 13466, 'U': 13466, 'L': 13466, 'C': 13466, 'M': 13466, 'N': 13466, 'D': 13466, 'Q': 13466, 'V': 5985, 'G': 5985, 'F': 5985, 'B': 2659, 'H': 2659, 'Z': 2659, 'J': 1182, 'X': 1182, '9': 1182, '6': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",0.9161681786399694,0.2583515691221464,-1922.1666666666667,3655.7,0.2583515691221464,39213324.16666666,6262.054308824434,0.4021003592333483,19706,395014478.2933334,0.9573104568579508,0.907447803817719,0.9573104568579508,0.9760231912111652,0.9343572070823156,0.907447803817719,352,587,0.4103852596314908,0.016750418760469,1.0,1.0,1.0,0.9994037111591912,1.0,1.0,0.8,1.0,1.0,0.9954022988505749,0.5760168452546722,0.704894485395341,0.7051926298157454,0.7051926298157454
1.0,8,10,"{'A': 16, 'E': 16, 'R': 15, 'I': 15, 'O': 15, 'S': 15, 'P': 14, 'U': 14, 'L': 14, 'C': 14, 'T': 14, 'M': 14, 'N': 14, 'D': 14, 'V': 13, 'G': 13, 'Q': 13, 'B': 12, 'H': 12, 'F': 12, 'Z': 11, 'J': 11, 'X': 10, '9': 10, '6': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 65535, 'E': 65535, 'R': 32767, 'I': 32767, 'O': 32767, 'S': 32767, 'P': 16383, 'U': 16383, 'L': 16383, 'C': 16383, 'T': 16383, 'M': 16383, 'N': 16383, 'D': 16383, 'V': 8191, 'G': 8191, 'Q': 8191, 'B': 4095, 'H': 4095, 'F': 4095, 'Z': 2047, 'J': 2047, 'X': 1023, '9': 1023, '6': 8, '0': 8, '5': 8, 'Y': 2, 'K': 1, '1': 1}",0.914357516340954,0.237224239580064,-2813.5333333333333,3799.933333333333,0.237224239580064,44201726.53333333,6648.437901743035,0.3683959925884135,23549,342876413.2644445,0.9643867711302534,0.8956740609819013,0.9643867711302534,0.9688869203794064,0.9343817287350308,0.8956740609819013,354,577,0.4070351758793969,0.033500837520938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5849054681496665,0.7035175879396984,0.7035175879396984,0.7035175879396984
2.0,8,10,"{'A': 26, 'E': 25, 'O': 25, 'R': 24, 'U': 24, 'I': 24, 'S': 24, 'T': 23, 'M': 23, 'N': 23, 'L': 22, 'C': 22, 'D': 22, 'P': 21, 'F': 20, 'Q': 20, 'V': 19, 'G': 19, 'B': 18, 'H': 18, 'Z': 18, 'J': 16, 'X': 16, '9': 15, '6': 10, '0': 10, '5': 8, 'Y': 2, 'K': 1, '1': 1}","{'A': 75752, 'E': 50500, 'O': 50500, 'R': 33666, 'U': 33666, 'I': 33666, 'S': 33666, 'T': 22443, 'M': 22443, 'N': 22443, 'L': 14962, 'C': 14962, 'D': 14962, 'P': 9974, 'F': 6649, 'Q': 6649, 'V': 4432, 'G': 4432, 'B': 2954, 'H': 2954, 'Z': 2954, 'J': 1312, 'X': 1312, '9': 874, '6': 113, '0': 113, '5': 8, 'Y': 2, 'K': 1, '1': 1}",0.918740754537282,0.2136281815559217,-1742.3,3382.1,0.2136281815559217,37464237.3,6120.803648214832,0.0758224549938978,22659,369638647.0888889,0.9598629524998048,0.9115760391628162,0.9598629524998048,0.9753325327963436,0.936185564599011,0.9115760391628162,375,596,0.371859296482412,0.0016750418760469,0.9,1.0,1.0,0.9652393912188136,0.9640700016142872,0.9224945116765986,0.4,0.6,0.3333333333333333,0.967816091954023,0.5791155574632452,0.6685493438506128,0.6679646490483496,0.6471769040795052
3.0,8,10,"{'A': 35, 'E': 35, 'O': 34, 'S': 34, 'R': 32, 'I': 32, 'U': 31, 'M': 31, 'N': 31, 'D': 31, 'C': 30, 'T': 30, 'P': 29, 'L': 29, 'Q': 28, 'V': 26, 'G': 26, 'F': 25, 'B': 24, 'H': 24, 'Z': 23, 'J': 23, 'X': 21, '9': 19, '6': 12, '0': 10, '5': 9, 'Y': 2, 'K': 1, '1': 1}","{'A': 70788, 'E': 70788, 'O': 53090, 'S': 53090, 'R': 29862, 'I': 29862, 'U': 22396, 'M': 22396, 'N': 22396, 'D': 22396, 'C': 16796, 'T': 16796, 'P': 12596, 'L': 12596, 'Q': 9446, 'V': 5312, 'G': 5312, 'F': 3983, 'B': 2987, 'H': 2987, 'Z': 2239, 'J': 2239, 'X': 1258, '9': 707, '6': 92, '0': 50, '5': 37, 'Y': 2, 'K': 1, '1': 1}",0.9908341555136734,0.1549012066598024,-937.7666666666668,1377.2333333333331,0.1549012066598024,4762871.5,2182.4003986436587,0.0512372538488666,7706,417178627.6733334,0.9954262586027528,0.9887585603407296,0.9954262586027528,0.9971550139796947,0.9925942848127832,0.9887585603407296,382,598,0.3601340033500838,-0.0016750418760469,0.9,1.0,1.0,0.9697805380323236,1.0,1.0,0.7,1.0,1.0,0.986206896551724,0.6026163983451407,0.6649572706912037,0.6800670016750419,0.6800670016750419
4.0,8,10,"{'A': 44, 'E': 44, 'O': 42, 'S': 42, 'R': 41, 'M': 40, 'I': 39, 'T': 39, 'N': 39, 'D': 39, 'U': 38, 'C': 38, 'P': 37, 'L': 36, 'Q': 34, 'V': 32, 'H': 32, 'G': 32, 'F': 32, 'B': 30, 'Z': 29, 'J': 27, 'X': 25, '9': 25, '6': 14, '0': 13, '5': 9, 'Y': 2, 'K': 1, '1': 1}","{'A': 73464, 'E': 73464, 'O': 47016, 'S': 47016, 'R': 37612, 'M': 30089, 'I': 24070, 'T': 24070, 'N': 24070, 'D': 24070, 'U': 19255, 'C': 19255, 'P': 15403, 'L': 12322, 'Q': 7885, 'V': 5045, 'H': 5045, 'G': 5045, 'F': 5045, 'B': 3227, 'Z': 2581, 'J': 1650, 'X': 1055, '9': 1055, '6': 87, '0': 69, '5': 26, 'Y': 2, 'K': 1, '1': 1}",0.98314134092136,0.121220286111597,-387.9666666666666,1524.1666666666667,0.121220286111597,7293342.3,2700.618873517698,0.0283972986818939,9300,417158722.50000006,0.9915359108229947,0.982786084533279,0.9915359108229947,0.9956481774341908,0.9872209224714652,0.982786084533279,395,600,0.338358458961474,-0.0050251256281407,0.9,1.0,1.0,0.989590284227386,1.0,1.0,0.7,1.0,1.0,0.986206896551724,0.6085690864249385,0.66397437159443,0.669179229480737,0.669179229480737
